word	label	negative	neutral	positive
@judyrey	positive	0.037	0.137	0.826
ь	neutral	0.116	0.823	0.062
я	neutral	0.173	0.701	0.126
#1	positive	0.056	0.4	0.543
#2	positive	0.089	0.431	0.48
#3	neutral	0.083	0.598	0.319
#4	neutral	0.061	0.539	0.401
#5	neutral	0.222	0.49	0.288
#6	negative	0.59	0.202	0.208
#7	neutral	0.367	0.587	0.046
#8	neutral	0.265	0.445	0.29
#9	neutral	0.364	0.598	0.038
$$	neutral	0.155	0.512	0.333
$0	neutral	0.197	0.615	0.188
$1	neutral	0.074	0.595	0.332
$2	neutral	0.121	0.542	0.337
$3	neutral	0.069	0.592	0.339
$4	neutral	0.049	0.622	0.33
$5	neutral	0.056	0.682	0.262
$6	neutral	0.087	0.53	0.383
$7	neutral	0.088	0.71	0.202
$8	neutral	0.024	0.547	0.429
$9	positive	0.199	0.326	0.475
definetely	neutral	0.067	0.634	0.299
#s	negative	0.668	0.276	0.056
#t	neutral	0.328	0.443	0.229
&&	neutral	0.234	0.446	0.32
'&\''	neutral	0.171	0.751	0.078
waisting	negative	0.594	0.39	0.016
&+	neutral	0.156	0.517	0.327
'\'\"'	neutral	0.148	0.453	0.399
@gypsyraven	positive	0.056	0.148	0.796
'\'\''	negative	0.429	0.283	0.288
billions	negative	0.636	0.245	0.118
(&	positive	0.036	0.43	0.534
'(\''	neutral	0.062	0.672	0.266
((	positive	0.349	0.292	0.358
()	neutral	0.13	0.439	0.431
(*	positive	0.363	0.115	0.522
(+	positive	0.08	0.435	0.485
attempt	neutral	0.248	0.614	0.137
(;	positive	0.069	0.157	0.774
(=	positive	0.055	0.313	0.632
')\''	neutral	0.392	0.545	0.064
))	positive	0.117	0.293	0.59
)-	positive	0.017	0.475	0.508
);	neutral	0.159	0.613	0.227
*)	positive	0.349	0.215	0.436
**	neutral	0.182	0.638	0.18
@paulmason10538	positive	0.03	0.147	0.824
@revrunwisdom	positive	0.017	0.146	0.837
++	neutral	0.379	0.418	0.203
1	negative	0.446	0.263	0.292
8	neutral	0.173	0.804	0.023
',!'	positive	0.042	0.16	0.798
',,'	negative	0.514	0.421	0.065
',.'	neutral	0.408	0.5	0.092
',?'	neutral	0.012	0.697	0.291
-&	negative	0.837	0.12	0.043
-(	negative	0.817	0.129	0.055
-)	neutral	0.292	0.677	0.031
-*	neutral	0.304	0.363	0.333
--	neutral	0.085	0.592	0.322
0	negative	0.528	0.418	0.054
-1	neutral	0.076	0.752	0.172
-2	neutral	0.143	0.808	0.049
-3	neutral	0.112	0.786	0.102
-4	neutral	0.065	0.891	0.044
-5	neutral	0.088	0.825	0.087
-6	neutral	0.099	0.8	0.101
-7	neutral	0.004	0.664	0.333
-8	neutral	0.012	0.675	0.313
@shontelle_layne	positive	0.018	0.278	0.703
messengers	negative	0.476	0.407	0.117
->	neutral	0.097	0.64	0.263
.!	positive	0.384	0.196	0.42
'.,'	neutral	0.122	0.683	0.195
..	neutral	0.144	0.67	0.185
.?	neutral	0.212	0.599	0.189
-a	positive	0.089	0.212	0.698
-h	neutral	0.109	0.801	0.09
-i	neutral	0.203	0.54	0.257
-j	negative	0.745	0.246	0.008
//	positive	0.147	0.419	0.434
-m	negative	0.737	0.136	0.126
-s	neutral	0.185	0.486	0.329
-x	negative	0.668	0.303	0.029
/:	negative	0.714	0.263	0.024
'0\%'	neutral	0.043	0.68	0.277
0	neutral	0.142	0.603	0.256
1	neutral	0.146	0.689	0.165
2	neutral	0.128	0.746	0.126
3	neutral	0.079	0.797	0.125
4	neutral	0.051	0.677	0.271
5	neutral	0.093	0.819	0.088
6	neutral	0.15	0.718	0.132
7	neutral	0.311	0.599	0.09
8	neutral	0.166	0.681	0.153
9	positive	0.062	0.43	0.508
'1\%'	negative	0.41	0.3	0.29
10	neutral	0.249	0.563	0.188
11	neutral	0.054	0.826	0.12
12	neutral	0.057	0.82	0.123
13	neutral	0.058	0.759	0.184
14	neutral	0.186	0.654	0.16
15	neutral	0.155	0.745	0.1
16	neutral	0.122	0.597	0.281
17	neutral	0.146	0.616	0.238
18	neutral	0.109	0.65	0.241
19	neutral	0.16	0.562	0.278
'2\%'	positive	0.031	0.47	0.499
burfday	positive	0.031	0.258	0.71
0f	neutral	0.07	0.527	0.403
0h	negative	0.507	0.398	0.094
2+	neutral	0.352	0.501	0.147
2-	neutral	0.083	0.532	0.385
20	neutral	0.156	0.743	0.101
0n	neutral	0.259	0.531	0.21
21	neutral	0.133	0.64	0.227
22	neutral	0.156	0.471	0.373
23	neutral	0.163	0.653	0.184
24	neutral	0.168	0.621	0.211
25	neutral	0.124	0.768	0.108
26	neutral	0.122	0.59	0.287
27	neutral	0.095	0.681	0.224
28	neutral	0.116	0.623	0.261
29	neutral	0.093	0.68	0.227
1a	neutral	0.235	0.555	0.211
'3\%'	negative	0.466	0.459	0.075
1g	neutral	0.06	0.586	0.354
1h	neutral	0.138	0.793	0.07
3+	negative	0.58	0.322	0.098
1k	neutral	0.023	0.54	0.437
3-	neutral	0.15	0.811	0.039
1m	neutral	0.02	0.833	0.147
30	neutral	0.192	0.76	0.048
31	neutral	0.064	0.672	0.264
32	neutral	0.08	0.634	0.287
33	neutral	0.105	0.684	0.21
34	neutral	0.086	0.747	0.167
35	neutral	0.111	0.809	0.08
1s	neutral	0.146	0.664	0.191
36	neutral	0.179	0.684	0.137
37	neutral	0.076	0.702	0.222
38	neutral	0.155	0.602	0.243
39	neutral	0.115	0.614	0.271
1x	neutral	0.342	0.596	0.062
2a	neutral	0.062	0.904	0.034
2b	positive	0.195	0.286	0.518
2c	neutral	0.138	0.65	0.212
2d	neutral	0.114	0.719	0.168
2g	positive	0.125	0.431	0.444
2h	neutral	0.014	0.812	0.174
4+	neutral	0.061	0.835	0.104
2k	neutral	0.071	0.756	0.173
2m	negative	0.581	0.286	0.133
40	neutral	0.186	0.734	0.08
41	neutral	0.141	0.634	0.225
42	neutral	0.092	0.697	0.21
2p	neutral	0.01	0.757	0.233
43	neutral	0.213	0.668	0.119
44	neutral	0.289	0.574	0.138
45	neutral	0.16	0.813	0.028
2s	neutral	0.193	0.796	0.012
46	neutral	0.088	0.75	0.162
47	neutral	0.097	0.797	0.106
2u	positive	0.019	0.407	0.574
48	neutral	0.441	0.514	0.045
49	neutral	0.079	0.736	0.185
2x	negative	0.528	0.323	0.149
5$	neutral	0.129	0.495	0.376
'5\%'	positive	0.309	0.299	0.393
3d	neutral	0.184	0.634	0.182
techcrunch	neutral	0.195	0.681	0.124
3g	positive	0.136	0.426	0.439
5*	positive	0.037	0.254	0.709
5+	neutral	0.15	0.717	0.133
3k	neutral	0.089	0.766	0.145
5-	neutral	0.019	0.701	0.28
50	neutral	0.077	0.758	0.165
pleaseeeeee	positive	0.373	0.215	0.412
51	neutral	0.099	0.755	0.145
52	neutral	0.081	0.756	0.163
53	neutral	0.12	0.698	0.182
54	neutral	0.12	0.679	0.202
55	neutral	0.182	0.708	0.111
3s	neutral	0.311	0.513	0.176
56	neutral	0.093	0.784	0.123
57	neutral	0.118	0.704	0.178
58	neutral	0.123	0.714	0.163
59	neutral	0.111	0.786	0.103
3x	neutral	0.272	0.542	0.186
4a	neutral	0.064	0.789	0.147
4d	neutral	0.109	0.65	0.241
4g	positive	0.268	0.232	0.5
4h	negative	0.506	0.367	0.128
4k	neutral	0.063	0.842	0.096
4m	neutral	0.169	0.679	0.152
60	neutral	0.104	0.835	0.061
61	neutral	0.129	0.602	0.268
62	neutral	0.381	0.535	0.084
63	neutral	0.192	0.575	0.233
64	neutral	0.136	0.672	0.192
65	neutral	0.097	0.742	0.162
66	neutral	0.034	0.677	0.29
67	neutral	0.225	0.687	0.089
4u	positive	0.073	0.402	0.525
68	neutral	0.118	0.668	0.215
69	neutral	0.083	0.67	0.247
4x	neutral	0.101	0.69	0.209
5a	neutral	0.139	0.685	0.177
5d	neutral	0.078	0.727	0.195
5h	neutral	0.264	0.671	0.065
5k	neutral	0.153	0.596	0.251
70	neutral	0.115	0.694	0.191
71	neutral	0.103	0.71	0.187
72	neutral	0.108	0.612	0.28
5p	neutral	0.013	0.783	0.204
73	neutral	0.132	0.624	0.243
74	neutral	0.084	0.64	0.275
75	neutral	0.032	0.729	0.24
5s	neutral	0.234	0.745	0.021
76	neutral	0.064	0.81	0.126
77	neutral	0.069	0.688	0.243
78	neutral	0.134	0.686	0.179
79	neutral	0.118	0.66	0.221
5x	negative	0.604	0.257	0.139
'8\%'	neutral	0.109	0.526	0.365
6k	neutral	0.004	0.681	0.315
8-	neutral	0.376	0.468	0.156
80	neutral	0.077	0.741	0.182
81	neutral	0.182	0.726	0.092
82	neutral	0.151	0.701	0.148
83	neutral	0.22	0.528	0.252
84	neutral	0.192	0.661	0.146
85	neutral	0.055	0.66	0.285
86	neutral	0.12	0.699	0.181
87	neutral	0.223	0.706	0.071
88	neutral	0.098	0.735	0.167
89	neutral	0.14	0.733	0.127
'9\%'	neutral	0.256	0.553	0.191
9-	neutral	0.075	0.741	0.184
7k	neutral	0.159	0.546	0.295
bytheway	neutral	0.032	0.791	0.177
90	neutral	0.171	0.737	0.091
91	neutral	0.055	0.669	0.276
92	neutral	0.042	0.771	0.187
93	neutral	0.188	0.692	0.12
94	neutral	0.091	0.719	0.19
7s	neutral	0.165	0.469	0.366
95	neutral	0.085	0.83	0.085
96	neutral	0.281	0.555	0.164
97	neutral	0.145	0.703	0.151
98	neutral	0.089	0.746	0.165
99	neutral	0.133	0.714	0.153
8a	neutral	0.184	0.674	0.142
8d	positive	0.061	0.381	0.558
8k	neutral	0.026	0.908	0.066
betsey	neutral	0.391	0.493	0.116
8p	neutral	0.01	0.786	0.204
wingstop	neutral	0.075	0.563	0.362
::	neutral	0.228	0.688	0.083
;(	negative	0.777	0.189	0.034
;)	positive	0.036	0.326	0.638
;/	negative	0.847	0.141	0.012
@evilrobert	neutral	0.348	0.519	0.134
;3	positive	0.423	0.139	0.438
;;	neutral	0.366	0.38	0.254
:[	negative	0.758	0.187	0.055
<-	positive	0.108	0.429	0.463
:s	negative	0.679	0.288	0.033
<<	positive	0.25	0.283	0.467
;[	neutral	0.418	0.534	0.048
<=	positive	0.251	0.312	0.437
':{'	negative	0.866	0.093	0.041
:|	negative	0.794	0.175	0.031
;]	positive	0.071	0.246	0.683
<>	positive	0.241	0.166	0.593
':}'	positive	0.129	0.185	0.686
;d	positive	0.055	0.255	0.69
Err:510	negative	0.735	0.234	0.031
;o	neutral	0.302	0.489	0.209
;p	positive	0.049	0.22	0.731
3	negative	0.429	0.389	0.181
;s	negative	0.481	0.275	0.243
Err:510	neutral	0.133	0.69	0.177
;|	negative	0.463	0.416	0.121
>>	neutral	0.12	0.549	0.331
?!	neutral	0.29	0.472	0.238
#REF!	positive	0.058	0.3	0.641
@loveandpeace001	positive	0.08	0.453	0.467
'?,'	neutral	0.088	0.83	0.083
?.	neutral	0.086	0.745	0.169
#REF!	negative	0.716	0.191	0.093
#REF!	positive	0.109	0.206	0.685
#REF!	negative	0.736	0.2	0.064
@mandsywoo	positive	0.005	0.44	0.555
Err:520	negative	0.752	0.221	0.027
??	neutral	0.171	0.623	0.205
'=}'	positive	0.073	0.232	0.696
'@\''	negative	0.492	0.352	0.156
@4	negative	0.765	0.066	0.168
@5	negative	0.4	0.245	0.355
@6	neutral	0.403	0.449	0.148
@8	neutral	0.15	0.808	0.043
@fire_flybot	positive	0.31	0.187	0.503
@@	negative	0.721	0.266	0.012
@i	negative	0.796	0.168	0.036
@k	neutral	0.026	0.746	0.228
buckhead	neutral	0.069	0.682	0.249
@s	neutral	0.274	0.368	0.358
@t	neutral	0.141	0.508	0.351
flirt	neutral	0.286	0.473	0.241
h0me	negative	0.475	0.279	0.246
tyrone	neutral	0.023	0.737	0.24
flips	negative	0.578	0.37	0.052
crawling	neutral	0.419	0.564	0.018
@josephthegreat	positive	0.213	0.161	0.626
@shade360	neutral	0.1	0.481	0.419
#goodsex	negative	0.563	0.194	0.243
25mins	negative	0.457	0.452	0.091
hopfully	neutral	0.108	0.628	0.264
skinnier	negative	0.483	0.079	0.438
skinnies	neutral	0.053	0.933	0.013
flies	negative	0.4	0.389	0.211
flick	neutral	0.269	0.536	0.195
veryyy	positive	0.056	0.123	0.822
vibes	positive	0.01	0.448	0.541
'vid\'s'	neutral	0.253	0.675	0.072
@missgreens	positive	0.093	0.416	0.491
#inaperfectworld	negative	0.365	0.324	0.311
bolivia	neutral	0.398	0.506	0.097
@donniesgirl69	positive	0.054	0.146	0.8
rained	neutral	0.428	0.483	0.088
@tssexychanel	neutral	0.119	0.456	0.425
[:	positive	0.027	0.215	0.758
[;	positive	0.014	0.295	0.691
[=	positive	0.038	0.336	0.626
@jj9828	positive	0.006	0.22	0.774
starshine	positive	0.023	0.228	0.749
harrassing	negative	0.635	0.309	0.056
[[	positive	0.097	0.271	0.632
]:	negative	0.52	0.452	0.028
^5	positive	0.015	0.239	0.746
][	positive	0.053	0.265	0.682
]]	positive	0.076	0.371	0.553
rainin	neutral	0.377	0.409	0.214
goingg	neutral	0.235	0.475	0.29
^^	positive	0.08	0.321	0.599
^_	positive	0.096	0.256	0.648
@respectmileyc	positive	0.046	0.178	0.776
flist	neutral	0.155	0.71	0.134
__	neutral	0.252	0.58	0.168
a-	neutral	0.261	0.723	0.016
a1	neutral	0.293	0.697	0.01
a2	neutral	0.055	0.831	0.114
a3	negative	0.541	0.244	0.214
a4	neutral	0.151	0.703	0.147
b+	neutral	0.414	0.568	0.017
b-	neutral	0.105	0.877	0.018
b1	neutral	0.219	0.749	0.031
b2	neutral	0.072	0.762	0.165
fome	neutral	0.287	0.549	0.164
b4	neutral	0.38	0.451	0.169
c#	neutral	0.012	0.768	0.219
aa	neutral	0.265	0.663	0.072
ab	neutral	0.243	0.67	0.087
ac	neutral	0.187	0.742	0.072
ad	neutral	0.082	0.803	0.115
ae	neutral	0.166	0.713	0.121
af	neutral	0.143	0.777	0.08
ag	neutral	0.369	0.521	0.11
ah	positive	0.08	0.175	0.746
ai	neutral	0.113	0.738	0.149
c+	neutral	0.15	0.823	0.027
aj	neutral	0.026	0.735	0.239
ak	neutral	0.104	0.786	0.11
c-	neutral	0.206	0.729	0.065
al	neutral	0.357	0.565	0.077
am	negative	0.531	0.295	0.174
an	neutral	0.086	0.565	0.348
ao	neutral	0.242	0.613	0.145
c1	neutral	0.214	0.515	0.271
ap	neutral	0.208	0.713	0.079
c2	neutral	0.269	0.722	0.008
c3	neutral	0.01	0.722	0.268
aq	neutral	0.18	0.772	0.048
c4	neutral	0.13	0.581	0.289
ar	neutral	0.262	0.655	0.083
as	neutral	0.165	0.653	0.182
at	neutral	0.267	0.565	0.168
au	neutral	0.346	0.579	0.075
av	neutral	0.201	0.556	0.243
aw	neutral	0.124	0.554	0.323
az	neutral	0.114	0.635	0.25
h1n1	negative	0.882	0.062	0.057
ba	neutral	0.091	0.694	0.215
bb	negative	0.406	0.301	0.293
bd	positive	0.06	0.461	0.479
be	positive	0.067	0.362	0.57
bf	neutral	0.392	0.402	0.206
rainnn	negative	0.474	0.349	0.177
bg	neutral	0.179	0.666	0.155
bh	neutral	0.089	0.753	0.158
bi	neutral	0.312	0.663	0.025
d+	neutral	0.109	0.73	0.161
bj	neutral	0.203	0.665	0.131
bk	neutral	0.112	0.775	0.113
bl	neutral	0.052	0.704	0.245
bm	neutral	0.425	0.445	0.131
bn	neutral	0.24	0.578	0.182
d0	neutral	0.071	0.511	0.418
bo	neutral	0.463	0.485	0.053
bp	neutral	0.213	0.627	0.16
d2	neutral	0.254	0.551	0.195
d3	positive	0.106	0.415	0.479
rainny	negative	0.766	0.132	0.102
br	neutral	0.128	0.734	0.138
bt	neutral	0.314	0.569	0.117
bu	neutral	0.196	0.638	0.166
bv	neutral	0.275	0.683	0.042
bw	neutral	0.371	0.515	0.115
fook	negative	0.714	0.213	0.073
bx	neutral	0.137	0.66	0.203
by	negative	0.581	0.163	0.256
bz	neutral	0.26	0.61	0.13
ca	neutral	0.156	0.593	0.251
cb	neutral	0.271	0.532	0.197
cc	negative	0.414	0.392	0.193
cd	neutral	0.039	0.699	0.263
ce	neutral	0.318	0.636	0.046
cf	neutral	0.023	0.777	0.201
cg	neutral	0.063	0.538	0.399
ch	neutral	0.168	0.596	0.236
ci	neutral	0.319	0.607	0.074
cj	neutral	0.05	0.722	0.229
ck	neutral	0.061	0.703	0.236
cl	neutral	0.171	0.667	0.162
cm	neutral	0.309	0.637	0.053
cn	neutral	0.068	0.645	0.287
co	neutral	0.063	0.683	0.255
cp	neutral	0.378	0.592	0.029
e3	neutral	0.069	0.687	0.245
cr	neutral	0.427	0.442	0.131
e4	negative	0.504	0.441	0.056
fone	neutral	0.404	0.526	0.07
cs	neutral	0.12	0.762	0.119
ct	neutral	0.064	0.647	0.289
cu	neutral	0.18	0.737	0.083
cv	neutral	0.117	0.76	0.123
cw	neutral	0.184	0.554	0.262
cy	neutral	0.031	0.924	0.045
cz	negative	0.577	0.342	0.081
da	neutral	0.287	0.566	0.147
db	neutral	0.146	0.715	0.139
dc	neutral	0.062	0.772	0.166
dd	neutral	0.252	0.4	0.349
de	neutral	0.129	0.706	0.165
df	negative	0.585	0.308	0.107
dg	neutral	0.231	0.66	0.109
dh	neutral	0.131	0.558	0.311
di	neutral	0.055	0.772	0.173
dj	neutral	0.05	0.767	0.183
dk	neutral	0.176	0.595	0.229
dl	neutral	0.117	0.765	0.117
fora	neutral	0.359	0.564	0.076
dm	neutral	0.123	0.551	0.326
f/	neutral	0.102	0.807	0.091
dn	neutral	0.31	0.576	0.114
do	neutral	0.097	0.58	0.323
f1	neutral	0.067	0.631	0.302
dp	neutral	0.171	0.603	0.226
dq	neutral	0.091	0.706	0.203
dr	neutral	0.099	0.831	0.071
f4	positive	0.237	0.289	0.474
ds	neutral	0.063	0.745	0.192
f5	neutral	0.306	0.597	0.098
dt	neutral	0.317	0.601	0.081
du	neutral	0.155	0.698	0.147
dv	positive	0.187	0.364	0.448
dw	neutral	0.225	0.537	0.238
dx	negative	0.528	0.384	0.088
dy	neutral	0.061	0.663	0.277
ea	neutral	0.367	0.512	0.121
eb	neutral	0.115	0.632	0.253
ec	neutral	0.3	0.621	0.079
ed	negative	0.515	0.404	0.081
brainstorming	neutral	0.023	0.799	0.178
ee	neutral	0.215	0.608	0.177
ef	neutral	0.387	0.592	0.021
eg	neutral	0.234	0.636	0.13
eh	neutral	0.141	0.529	0.33
ei	neutral	0.037	0.796	0.168
ej	neutral	0.05	0.843	0.108
ek	neutral	0.182	0.617	0.201
el	neutral	0.337	0.584	0.079
em	neutral	0.348	0.402	0.25
en	neutral	0.176	0.668	0.156
g0	negative	0.475	0.181	0.344
g1	neutral	0.268	0.472	0.26
ep	neutral	0.086	0.725	0.19
g2	neutral	0.373	0.467	0.16
g3	neutral	0.077	0.711	0.213
eq	neutral	0.262	0.566	0.172
g4	neutral	0.245	0.663	0.093
er	negative	0.493	0.479	0.028
g5	neutral	0.092	0.844	0.063
es	neutral	0.134	0.626	0.24
et	neutral	0.149	0.745	0.106
eu	neutral	0.18	0.624	0.195
ev	neutral	0.223	0.647	0.13
ew	negative	0.846	0.13	0.024
ex	negative	0.669	0.15	0.18
ey	positive	0.056	0.24	0.704
ez	neutral	0.309	0.494	0.196
fa	neutral	0.095	0.707	0.198
fb	neutral	0.304	0.609	0.086
fc	positive	0.153	0.354	0.493
fd	neutral	0.344	0.602	0.054
fe	neutral	0.081	0.674	0.246
ff	positive	0.033	0.427	0.54
fg	neutral	0.174	0.676	0.15
fh	neutral	0.376	0.598	0.026
fi	neutral	0.112	0.689	0.2
fk	negative	0.812	0.09	0.098
fl	neutral	0.083	0.703	0.214
fota	positive	0.284	0.302	0.413
fm	neutral	0.066	0.779	0.155
fotc	negative	0.478	0.165	0.357
fn	negative	0.91	0.036	0.053
fo	neutral	0.221	0.515	0.264
fp	neutral	0.186	0.47	0.344
h3	neutral	0.053	0.723	0.223
fr	neutral	0.096	0.613	0.291
fs	neutral	0.255	0.652	0.093
ft	neutral	0.158	0.547	0.295
fu	neutral	0.422	0.528	0.05
h8	negative	0.842	0.072	0.086
fw	neutral	0.205	0.518	0.277
fx	neutral	0.135	0.596	0.27
ga	neutral	0.106	0.708	0.186
fost	neutral	0.291	0.622	0.088
gb	neutral	0.08	0.737	0.183
gc	positive	0.08	0.434	0.486
gd	positive	0.028	0.448	0.524
ge	neutral	0.381	0.532	0.087
gf	neutral	0.288	0.458	0.254
gg	neutral	0.211	0.432	0.357
gh	neutral	0.253	0.479	0.267
gi	neutral	0.117	0.851	0.032
gj	neutral	0.173	0.764	0.063
gk	neutral	0.09	0.819	0.091
gl	neutral	0.11	0.697	0.194
gm	neutral	0.199	0.525	0.275
gn	neutral	0.223	0.534	0.243
go	neutral	0.249	0.589	0.162
gp	neutral	0.054	0.648	0.299
gq	neutral	0.016	0.682	0.302
gr	neutral	0.139	0.632	0.229
gs	neutral	0.153	0.803	0.044
gt	neutral	0.241	0.654	0.105
gu	neutral	0.11	0.518	0.371
i7	neutral	0.013	0.674	0.314
gv	neutral	0.252	0.614	0.133
gw	neutral	0.034	0.818	0.148
có	neutral	0.372	0.451	0.177
forr	neutral	0.158	0.521	0.321
hb	neutral	0.149	0.672	0.179
fort	neutral	0.037	0.838	0.124
hc	neutral	0.152	0.655	0.193
hd	neutral	0.111	0.733	0.157
he	negative	0.577	0.198	0.225
hg	neutral	0.068	0.619	0.314
hh	neutral	0.27	0.663	0.066
hi	neutral	0.023	0.513	0.463
hj	neutral	0.04	0.664	0.295
hk	positive	0.301	0.307	0.392
hl	neutral	0.403	0.466	0.131
hn	negative	0.641	0.28	0.079
ho	neutral	0.154	0.738	0.107
hp	neutral	0.177	0.693	0.13
hq	neutral	0.072	0.763	0.165
hr	neutral	0.144	0.762	0.095
hs	neutral	0.038	0.747	0.215
ht	neutral	0.205	0.412	0.383
hu	negative	0.69	0.271	0.039
hv	neutral	0.098	0.462	0.44
hw	neutral	0.08	0.782	0.138
hy	neutral	0.051	0.624	0.325
four	neutral	0.116	0.827	0.057
ia	neutral	0.185	0.494	0.321
ib	neutral	0.208	0.549	0.244
ic	neutral	0.29	0.551	0.159
id	neutral	0.212	0.594	0.194
https	negative	0.521	0.356	0.123
ie	neutral	0.344	0.621	0.035
if	negative	0.514	0.23	0.256
ih	neutral	0.04	0.628	0.331
ii	neutral	0.321	0.471	0.208
ij	neutral	0.153	0.708	0.139
ik	negative	0.404	0.378	0.218
il	neutral	0.087	0.624	0.289
im	neutral	0.407	0.52	0.073
in	neutral	0.127	0.757	0.116
io	neutral	0.454	0.52	0.026
ip	neutral	0.21	0.501	0.289
k2	neutral	0.176	0.705	0.119
iq	positive	0.206	0.286	0.508
ir	neutral	0.257	0.683	0.061
is	negative	0.53	0.281	0.189
it	negative	0.401	0.32	0.279
iu	neutral	0.213	0.512	0.275
iv	neutral	0.34	0.536	0.124
iw	neutral	0.169	0.735	0.096
iy	neutral	0.12	0.621	0.259
iz	negative	0.658	0.152	0.19
foto	neutral	0.13	0.659	0.211
ja	neutral	0.137	0.664	0.199
