WORD_NAME	label	negative	neutral	positive
##	neutral	0.055	0.664	0.281
#)	neutral	0.064	0.866	0.07
#0	neutral	0.156	0.725	0.119
@user377577	neutral	0.027	0.569	0.405
#1	neutral	0.023	0.548	0.429
#2	neutral	0.032	0.659	0.309
#3	neutral	0.027	0.741	0.232
#4	neutral	0.027	0.709	0.263
#5	neutral	0.139	0.611	0.25
#6	neutral	0.171	0.577	0.251
#7	neutral	0.12	0.663	0.218
#8	neutral	0.119	0.595	0.286
#9	neutral	0.143	0.681	0.177
$#	negative	0.401	0.268	0.331
$$	positive	0.36	0.152	0.488
$)	negative	0.498	0.458	0.044
$0	neutral	0.053	0.75	0.197
$1	neutral	0.023	0.599	0.377
$2	neutral	0.026	0.629	0.345
$3	neutral	0.004	0.736	0.26
$4	neutral	0.013	0.821	0.166
$5	neutral	0.012	0.708	0.279
$6	neutral	0.008	0.772	0.22
$7	neutral	0.01	0.796	0.195
$8	neutral	0.03	0.799	0.172
$9	neutral	0.015	0.774	0.211
#a	neutral	0.093	0.669	0.237
#b	neutral	0.093	0.455	0.452
#c	neutral	0.256	0.373	0.371
#d	neutral	0.043	0.617	0.34
#e	neutral	0.048	0.66	0.292
#f	positive	0.248	0.258	0.494
#g	neutral	0.387	0.415	0.198
#h	neutral	0.203	0.665	0.132
#i	neutral	0.264	0.375	0.361
#j	positive	0.168	0.388	0.444
#k	neutral	0.244	0.595	0.161
#l	neutral	0.377	0.486	0.136
#m	neutral	0.172	0.719	0.109
#n	neutral	0.046	0.772	0.182
#p	neutral	0.021	0.539	0.441
#r	positive	0.122	0.418	0.46
#s	neutral	0.33	0.604	0.066
#t	neutral	0.279	0.52	0.201
#v	negative	0.485	0.426	0.089
#w	neutral	0.16	0.778	0.062
#x	neutral	0.062	0.62	0.318
#y	negative	0.646	0.298	0.056
&#	positive	0.157	0.308	0.536
$c	neutral	0.16	0.74	0.1
&&	neutral	0.25	0.48	0.27
$h	negative	0.465	0.363	0.171
&*	negative	0.478	0.297	0.225
&+	neutral	0.291	0.495	0.215
$o	neutral	0.227	0.477	0.296
$s	negative	0.373	0.34	0.287
$t	negative	0.422	0.367	0.21
'\'\"'	negative	0.51	0.035	0.455
'\'\''	positive	0.281	0.264	0.456
&`	neutral	0.379	0.404	0.216
($	neutral	0.008	0.819	0.173
(&	positive	0.053	0.343	0.604
((	neutral	0.252	0.439	0.31
()	neutral	0.279	0.588	0.133
(*	negative	0.577	0.209	0.214
(+	positive	0.081	0.288	0.631
(-	neutral	0.053	0.69	0.258
&m	positive	0.013	0.348	0.639
&r	negative	0.549	0.414	0.037
attempt	negative	0.481	0.438	0.081
&t	neutral	0.194	0.461	0.345
(8	positive	0.373	0.071	0.556
(9	negative	0.466	0.204	0.33
(;	positive	0.107	0.127	0.766
(=	positive	0.008	0.192	0.8
&|	negative	0.48	0.449	0.072
(@	neutral	0.03	0.682	0.288
)&	positive	0.059	0.372	0.569
)(	neutral	0.028	0.702	0.27
))	neutral	0.195	0.592	0.213
)*	neutral	0.071	0.67	0.259
)-	positive	0.026	0.347	0.627
)/	positive	0.211	0.175	0.614
yielded	neutral	0.218	0.659	0.123
);	neutral	0.31	0.527	0.163
)=	negative	0.925	0.066	0.009
(a	neutral	0.212	0.419	0.369
*&	positive	0.105	0.445	0.451
(f	positive	0.001	0.474	0.525
*(	neutral	0.11	0.512	0.377
*)	negative	0.457	0.353	0.19
**	positive	0.18	0.388	0.432
(i	neutral	0.152	0.556	0.292
*-	neutral	0.303	0.601	0.096
(l	positive	0.005	0.153	0.841
*/	neutral	0.145	0.67	0.185
cultivating	positive	0.001	0.473	0.526
)]	neutral	0.182	0.721	0.097
+)	neutral	0.159	0.714	0.127
++	neutral	0.192	0.542	0.267
)i	neutral	0.085	0.782	0.133
1	neutral	0.115	0.522	0.364
2	neutral	0.115	0.629	0.256
3	positive	0.028	0.439	0.533
4	neutral	0.203	0.699	0.097
5	positive	0.089	0.435	0.476
6	positive	0.019	0.403	0.579
7	neutral	0.028	0.506	0.466
8	neutral	0.017	0.636	0.347
*[	neutral	0.037	0.783	0.18
*]	neutral	0.439	0.451	0.111
')}'	positive	0.008	0.433	0.559
',!'	positive	0.282	0.314	0.404
*i	neutral	0.042	0.806	0.152
',,'	neutral	0.317	0.407	0.276
',.'	neutral	0.22	0.564	0.217
@user4524833	negative	0.656	0.062	0.282
@user22504	neutral	0.363	0.458	0.178
@user22506	neutral	0.106	0.673	0.221
',?'	neutral	0.175	0.748	0.077
-$	neutral	0.07	0.644	0.286
-&	negative	0.543	0.32	0.138
'-\''	negative	0.685	0.253	0.062
-(	positive	0.319	0.243	0.438
-)	negative	0.462	0.307	0.23
-*	positive	0.069	0.454	0.478
--	neutral	0.156	0.745	0.099
-/	neutral	0.145	0.762	0.093
0	neutral	0.067	0.726	0.208
-1	neutral	0.168	0.676	0.156
-2	neutral	0.086	0.797	0.116
-3	neutral	0.09	0.628	0.282
-4	neutral	0.033	0.846	0.121
-5	neutral	0.058	0.698	0.244
-6	neutral	0.01	0.718	0.272
-7	neutral	0.008	0.878	0.114
-8	neutral	0.046	0.826	0.128
-9	neutral	0.038	0.583	0.379
->	positive	0.066	0.386	0.548
.!	positive	0.398	0.196	0.406
'.,'	neutral	0.113	0.697	0.191
..	neutral	0.207	0.511	0.282
.?	neutral	0.21	0.612	0.178
-a	positive	0.185	0.351	0.464
-b	negative	0.514	0.231	0.255
-c	neutral	0.167	0.628	0.205
-d	positive	0.306	0.343	0.35
-e	neutral	0.228	0.636	0.136
-f	neutral	0.373	0.524	0.102
-g	negative	0.541	0.418	0.041
-h	neutral	0.153	0.435	0.413
/*	neutral	0.062	0.749	0.189
-i	neutral	0.116	0.53	0.354
-j	negative	0.763	0.199	0.038
-k	positive	0.422	0.13	0.448
/-	neutral	0.054	0.593	0.353
-l	neutral	0.142	0.716	0.142
//	neutral	0.091	0.505	0.404
-m	negative	0.736	0.062	0.201
-n	neutral	0.18	0.456	0.363
-o	neutral	0.057	0.757	0.186
-p	positive	0.038	0.35	0.612
-q	neutral	0.305	0.437	0.258
nederland	neutral	0.029	0.548	0.423
-r	neutral	0.145	0.72	0.135
/5	neutral	0.099	0.846	0.055
-s	neutral	0.056	0.732	0.211
-t	neutral	0.171	0.764	0.065
-u	neutral	0.344	0.479	0.177
-w	neutral	0.415	0.553	0.031
-x	neutral	0.391	0.543	0.067
/:	negative	0.917	0.078	0.005
-y	negative	0.481	0.054	0.466
-z	neutral	0.053	0.701	0.246
/=	negative	0.881	0.093	0.026
'0\%'	neutral	0.027	0.805	0.167
0/	neutral	0.386	0.581	0.033
0	neutral	0.027	0.82	0.153
1	neutral	0.02	0.64	0.34
2	neutral	0.02	0.742	0.237
3	neutral	0.019	0.647	0.334
4	neutral	0.043	0.785	0.172
5	neutral	0.05	0.781	0.168
6	neutral	0.175	0.667	0.158
7	neutral	0.124	0.616	0.26
8	neutral	0.216	0.588	0.196
9	neutral	0.178	0.425	0.397
/a	neutral	0.029	0.841	0.13
/b	positive	0.004	0.427	0.57
1$	neutral	0.136	0.809	0.054
'1\%'	neutral	0.064	0.69	0.246
/i	neutral	0.171	0.495	0.335
1+	neutral	0.084	0.889	0.027
1-	neutral	0.197	0.688	0.115
10	neutral	0.252	0.651	0.097
11	neutral	0.054	0.826	0.12
/o	negative	0.528	0.424	0.048
12	neutral	0.048	0.888	0.064
13	neutral	0.058	0.858	0.084
14	neutral	0.044	0.708	0.247
15	neutral	0.113	0.778	0.109
16	neutral	0.056	0.717	0.227
17	neutral	0.054	0.659	0.287
18	neutral	0.038	0.715	0.248
19	neutral	0.038	0.703	0.259
/w	neutral	0.046	0.836	0.119
'2\%'	neutral	0.033	0.74	0.228
0c	neutral	0.095	0.831	0.074
0d	neutral	0.183	0.747	0.07
burfday	positive	0.285	0.281	0.434
0f	negative	0.57	0.34	0.09
0h	neutral	0.367	0.451	0.182
2+	neutral	0.057	0.886	0.058
0k	negative	0.626	0.216	0.157
2-	neutral	0.118	0.772	0.109
20	neutral	0.08	0.803	0.117
0n	neutral	0.385	0.498	0.117
21	neutral	0.042	0.672	0.286
22	neutral	0.033	0.7	0.267
0p	neutral	0.306	0.45	0.244
23	neutral	0.047	0.73	0.222
24	neutral	0.089	0.769	0.142
0r	neutral	0.361	0.555	0.084
25	neutral	0.065	0.783	0.152
0s	neutral	0.125	0.696	0.179
26	neutral	0.043	0.727	0.23
27	neutral	0.049	0.667	0.284
28	neutral	0.031	0.751	0.219
29	neutral	0.03	0.677	0.293
1a	neutral	0.036	0.869	0.095
1b	neutral	0.02	0.906	0.073
'3\%'	neutral	0.045	0.729	0.227
1c	neutral	0.076	0.864	0.06
1d	neutral	0.074	0.84	0.086
1g	positive	0.014	0.444	0.542
1h	neutral	0.072	0.709	0.219
3+	neutral	0.153	0.795	0.052
1k	neutral	0.025	0.792	0.184
3-	neutral	0.096	0.651	0.253
1l	neutral	0.108	0.806	0.086
1m	neutral	0.134	0.765	0.101
30	neutral	0.123	0.785	0.092
31	neutral	0.019	0.729	0.252
1o	neutral	0.236	0.699	0.065
32	neutral	0.072	0.793	0.135
1p	neutral	0.037	0.813	0.15
33	neutral	0.049	0.715	0.236
1q	neutral	0.258	0.611	0.131
34	neutral	0.029	0.764	0.207
35	neutral	0.08	0.805	0.115
1s	neutral	0.23	0.566	0.204
36	neutral	0.045	0.789	0.166
37	neutral	0.025	0.728	0.247
38	neutral	0.034	0.766	0.2
39	neutral	0.026	0.768	0.206
1x	neutral	0.118	0.799	0.082
1z	positive	0.369	0.253	0.379
2a	neutral	0.363	0.616	0.021
2b	negative	0.384	0.283	0.332
2c	positive	0.251	0.282	0.466
'4\%'	neutral	0.093	0.805	0.102
2d	neutral	0.162	0.755	0.083
2g	neutral	0.102	0.573	0.325
2h	neutral	0.106	0.815	0.079
4+	neutral	0.058	0.8	0.142
2k	neutral	0.174	0.658	0.168
4-	neutral	0.205	0.617	0.178
2m	neutral	0.297	0.539	0.164
40	neutral	0.088	0.8	0.111
2n	neutral	0.1	0.675	0.225
41	neutral	0.025	0.738	0.237
2o	neutral	0.097	0.728	0.175
42	neutral	0.032	0.757	0.211
2p	neutral	0.041	0.899	0.059
43	neutral	0.02	0.75	0.23
44	neutral	0.086	0.755	0.158
45	neutral	0.095	0.83	0.075
2s	neutral	0.1	0.863	0.037
46	neutral	0.031	0.795	0.174
2t	neutral	0.108	0.818	0.074
47	neutral	0.037	0.752	0.21
2u	positive	0.031	0.304	0.665
48	neutral	0.056	0.815	0.129
49	neutral	0.039	0.735	0.227
@user22583	positive	0.074	0.378	0.548
2x	neutral	0.215	0.661	0.124
3a	neutral	0.208	0.753	0.039
3b	neutral	0.25	0.673	0.078
5$	neutral	0.015	0.625	0.36
'5\%'	neutral	0.054	0.801	0.145
3c	neutral	0.27	0.607	0.123
3d	neutral	0.084	0.599	0.317
3g	neutral	0.058	0.603	0.34
3h	neutral	0.232	0.57	0.198
3i	neutral	0.164	0.732	0.104
5+	neutral	0.261	0.536	0.203
3k	neutral	0.017	0.903	0.08
5-	neutral	0.042	0.761	0.197
3m	neutral	0.109	0.708	0.183
50	neutral	0.02	0.836	0.143
51	neutral	0.047	0.733	0.22
3o	neutral	0.139	0.718	0.143
52	neutral	0.039	0.745	0.216
3p	neutral	0.096	0.795	0.109
3q	negative	0.588	0.224	0.188
53	neutral	0.032	0.743	0.224
54	neutral	0.028	0.764	0.208
55	neutral	0.08	0.824	0.096
3s	neutral	0.156	0.649	0.195
56	neutral	0.029	0.76	0.21
3t	neutral	0.112	0.78	0.108
57	neutral	0.044	0.78	0.176
58	neutral	0.037	0.747	0.217
59	neutral	0.022	0.718	0.26
3x	neutral	0.099	0.754	0.146
4a	neutral	0.21	0.483	0.307
'6\%'	neutral	0.028	0.862	0.11
4d	neutral	0.037	0.614	0.349
4e	neutral	0.087	0.589	0.323
4g	neutral	0.015	0.572	0.412
6+	neutral	0.291	0.69	0.019
4k	neutral	0.018	0.87	0.113
6-	neutral	0.214	0.745	0.042
4m	negative	0.525	0.398	0.077
60	neutral	0.099	0.804	0.096
61	neutral	0.026	0.706	0.267
4o	neutral	0.349	0.534	0.117
62	neutral	0.047	0.785	0.168
4p	neutral	0.026	0.778	0.197
63	neutral	0.027	0.771	0.202
4q	positive	0.294	0.353	0.354
64	neutral	0.032	0.746	0.221
4r	negative	0.521	0.136	0.343
65	neutral	0.028	0.887	0.086
4s	neutral	0.147	0.669	0.183
66	neutral	0.033	0.767	0.2
4u	neutral	0.176	0.539	0.285
67	neutral	0.034	0.724	0.242
68	neutral	0.028	0.747	0.225
69	neutral	0.017	0.87	0.113
4x	neutral	0.011	0.818	0.171
5a	neutral	0.076	0.811	0.113
'7\%'	neutral	0.221	0.666	0.114
5c	neutral	0.009	0.57	0.42
5d	neutral	0.021	0.813	0.166
5g	neutral	0.062	0.707	0.232
5h	neutral	0.456	0.502	0.042
7+	neutral	0.08	0.891	0.029
5k	neutral	0.135	0.691	0.175
7-	neutral	0.053	0.618	0.329
5m	neutral	0.041	0.927	0.032
70	neutral	0.024	0.885	0.091
71	neutral	0.027	0.692	0.281
5o	neutral	0.303	0.533	0.164
72	neutral	0.037	0.789	0.174
5p	neutral	0.013	0.803	0.184
73	neutral	0.032	0.772	0.195
74	neutral	0.031	0.736	0.233
75	neutral	0.016	0.86	0.124
5s	neutral	0.053	0.754	0.193
76	neutral	0.03	0.769	0.201
5t	positive	0.004	0.377	0.619
77	neutral	0.055	0.7	0.245
78	neutral	0.028	0.807	0.165
79	neutral	0.027	0.767	0.206
5x	neutral	0.155	0.653	0.192
6a	neutral	0.026	0.926	0.048
'8\%'	neutral	0.093	0.796	0.11
8+	neutral	0.341	0.65	0.009
8-	neutral	0.041	0.707	0.251
6k	neutral	0.053	0.809	0.138
6m	neutral	0.038	0.8	0.162
80	neutral	0.039	0.859	0.102
81	neutral	0.037	0.794	0.169
82	neutral	0.038	0.771	0.192
6p	neutral	0.02	0.816	0.164
83	neutral	0.033	0.712	0.255
84	neutral	0.023	0.766	0.211
85	neutral	0.014	0.87	0.116
6s	neutral	0.064	0.88	0.056
86	neutral	0.036	0.787	0.177
87	neutral	0.031	0.735	0.234
88	neutral	0.04	0.771	0.189
89	neutral	0.02	0.825	0.155
6x	neutral	0.148	0.727	0.126
7a	neutral	0.053	0.843	0.103
'9\%'	neutral	0.04	0.86	0.099
7d	neutral	0.008	0.884	0.108
7k	neutral	0.015	0.865	0.12
9-	neutral	0.083	0.856	0.062
90	neutral	0.089	0.827	0.084
91	neutral	0.046	0.814	0.14
92	neutral	0.027	0.786	0.187
7p	neutral	0.028	0.838	0.134
93	neutral	0.03	0.788	0.182
94	neutral	0.021	0.79	0.189
95	neutral	0.045	0.854	0.101
7s	neutral	0.107	0.5	0.393
96	neutral	0.04	0.798	0.162
97	neutral	0.01	0.844	0.145
98	neutral	0.048	0.781	0.171
99	neutral	0.025	0.864	0.111
7x	neutral	0.04	0.666	0.294
8a	neutral	0.012	0.652	0.336
8d	positive	0.167	0.309	0.524
8k	neutral	0.119	0.811	0.07
betsey	neutral	0.118	0.849	0.033
8o	negative	0.534	0.379	0.087
8p	neutral	0.011	0.604	0.385
8s	neutral	0.483	0.502	0.015
::	neutral	0.119	0.491	0.39
8x	neutral	0.183	0.752	0.065
:;	negative	0.542	0.231	0.226
8|	negative	0.956	0.042	0.002
;(	negative	0.916	0.079	0.005
;)	positive	0.04	0.221	0.74
;/	negative	0.846	0.147	0.008
9m	neutral	0.205	0.535	0.261
9p	neutral	0.016	0.825	0.159
;3	positive	0.255	0.1	0.645
9s	neutral	0.243	0.716	0.041
;:	neutral	0.038	0.499	0.463
;;	negative	0.429	0.211	0.361
:[	negative	0.915	0.08	0.004
<-	neutral	0.091	0.672	0.236
:s	negative	0.879	0.115	0.005
:v	negative	0.686	0.27	0.044
<<	neutral	0.132	0.588	0.28
;[	negative	0.944	0.044	0.012
<=	neutral	0.172	0.557	0.271
':{'	negative	0.746	0.173	0.081
:|	negative	0.884	0.112	0.004
<>	neutral	0.134	0.583	0.283
;]	positive	0.096	0.173	0.731
':}'	positive	0.014	0.206	0.779
clevland	neutral	0.085	0.745	0.17
;d	positive	0.067	0.162	0.771
Err:510	negative	0.896	0.099	0.004
;o	negative	0.429	0.335	0.236
;p	positive	0.103	0.197	0.701
3	neutral	0.334	0.565	0.101
;s	neutral	0.121	0.671	0.207
Err:510	neutral	0.094	0.561	0.345
;|	negative	0.931	0.063	0.006
';}'	positive	0.124	0.095	0.78
>>	neutral	0.127	0.502	0.371
?!	neutral	0.282	0.608	0.11
#REF!	positive	0.109	0.198	0.692
'?,'	neutral	0.144	0.755	0.101
?.	neutral	0.236	0.689	0.075
#REF!	negative	0.621	0.255	0.124
#REF!	positive	0.123	0.203	0.675
#REF!	negative	0.914	0.076	0.01
Err:520	negative	0.904	0.092	0.004
??	neutral	0.17	0.617	0.213
'=}'	positive	0.016	0.145	0.839
@#	positive	0.112	0.028	0.86
@0	neutral	0.016	0.743	0.24
@1	neutral	0.047	0.848	0.106
@6	neutral	0.045	0.653	0.302
@9	positive	0.076	0.336	0.588
@@	negative	0.479	0.167	0.355
@d	positive	0.131	0.408	0.461
@h	neutral	0.221	0.702	0.076
@i	negative	0.774	0.172	0.054
@k	neutral	0.194	0.587	0.219
@l	positive	0.079	0.298	0.623
@m	positive	0.151	0.302	0.547
@n	positive	0.115	0.296	0.59
@r	neutral	0.127	0.591	0.282
@s	positive	0.208	0.388	0.404
@t	negative	0.44	0.155	0.405
@u	negative	0.362	0.34	0.298
@y	negative	0.409	0.395	0.196
@user377476	positive	0.174	0.369	0.457
@user6176567	positive	0.022	0.293	0.685
@user22820	neutral	0.405	0.411	0.184
@user22843	negative	0.563	0.116	0.321
hopfully	neutral	0.038	0.593	0.368
latvian	neutral	0.091	0.595	0.313
take-two	positive	0.269	0.333	0.398
@user22864	neutral	0.213	0.643	0.143
aromas	neutral	0.077	0.755	0.168
[&	neutral	0.022	0.75	0.228
[(	neutral	0.22	0.65	0.131
[*	neutral	0.266	0.631	0.103
[/	neutral	0.118	0.461	0.421
backchannel	neutral	0.11	0.522	0.369
[:	positive	0.014	0.185	0.801
[;	positive	0.094	0.179	0.728
[=	positive	0.02	0.208	0.771
[[	neutral	0.184	0.509	0.306
[]	neutral	0.217	0.655	0.128
])	neutral	0.111	0.692	0.197
]*	positive	0.115	0.295	0.589
]:	neutral	0.286	0.622	0.093
];	negative	0.722	0.078	0.2
][	neutral	0.293	0.67	0.037
]]	neutral	0.33	0.348	0.322
^^	positive	0.068	0.205	0.726
^_	positive	0.27	0.246	0.485
^o	negative	0.667	0.245	0.088
__	positive	0.169	0.383	0.448
a)	neutral	0.337	0.571	0.093
a-	neutral	0.069	0.838	0.093
@user113730	neutral	0.182	0.455	0.363
a1	neutral	0.11	0.778	0.113
a2	neutral	0.015	0.874	0.111
a3	neutral	0.05	0.785	0.165
a4	neutral	0.058	0.743	0.2
a5	neutral	0.059	0.838	0.103
a6	neutral	0.191	0.424	0.385
a8	neutral	0.02	0.608	0.372
b+	neutral	0.232	0.606	0.162
@user377300	positive	0.111	0.219	0.669
b-	neutral	0.243	0.715	0.042
b1	neutral	0.31	0.59	0.1
b2	neutral	0.058	0.658	0.283
b3	neutral	0.187	0.586	0.227
b4	neutral	0.422	0.475	0.102
`s	positive	0.154	0.406	0.44
b5	negative	0.417	0.393	0.189
`v	positive	0.006	0.249	0.745
aa	neutral	0.152	0.771	0.077
c#	neutral	0.006	0.854	0.14
ab	neutral	0.149	0.653	0.198
ac	neutral	0.037	0.681	0.282
ad	neutral	0.111	0.751	0.138
ae	neutral	0.151	0.741	0.108
af	neutral	0.297	0.649	0.054
ag	neutral	0.255	0.527	0.218
ah	neutral	0.196	0.499	0.304
ai	neutral	0.173	0.735	0.092
c+	negative	0.497	0.432	0.071
aj	neutral	0.029	0.73	0.241
ak	neutral	0.101	0.778	0.121
c-	neutral	0.372	0.607	0.021
al	neutral	0.363	0.494	0.142
am	neutral	0.177	0.501	0.322
c/	neutral	0.147	0.723	0.13
an	neutral	0.245	0.668	0.088
ao	neutral	0.357	0.626	0.017
c1	negative	0.602	0.329	0.069
ap	negative	0.681	0.233	0.086
c2	neutral	0.038	0.692	0.27
aq	neutral	0.112	0.745	0.142
c3	neutral	0.032	0.631	0.337
ar	neutral	0.12	0.745	0.135
c4	neutral	0.374	0.566	0.06
as	neutral	0.229	0.426	0.345
c5	neutral	0.086	0.711	0.203
at	neutral	0.089	0.84	0.071
au	neutral	0.118	0.731	0.151
av	neutral	0.087	0.755	0.159
aw	positive	0.102	0.42	0.478
az	neutral	0.048	0.741	0.211
ba	neutral	0.053	0.831	0.117
bb	neutral	0.205	0.531	0.263
bd	neutral	0.032	0.567	0.4
be	positive	0.142	0.351	0.508
bf	negative	0.389	0.378	0.233
bg	neutral	0.152	0.48	0.368
bh	neutral	0.085	0.673	0.242
bi	neutral	0.24	0.629	0.131
d+	neutral	0.143	0.766	0.091
bj	neutral	0.18	0.62	0.2
bk	neutral	0.2	0.75	0.05
d-	neutral	0.036	0.941	0.023
bl	neutral	0.211	0.671	0.118
bm	neutral	0.136	0.596	0.268
d0	neutral	0.171	0.633	0.196
bn	neutral	0.353	0.571	0.077
bo	neutral	0.244	0.647	0.109
d1	neutral	0.029	0.86	0.111
bp	neutral	0.222	0.534	0.243
d2	neutral	0.061	0.768	0.171
d3	neutral	0.07	0.772	0.158
bq	neutral	0.035	0.872	0.093
br	neutral	0.041	0.833	0.126
d4	negative	0.691	0.242	0.067
bt	negative	0.638	0.257	0.105
bu	neutral	0.131	0.605	0.264
bv	neutral	0.281	0.555	0.165
d8	negative	0.779	0.161	0.061
bw	neutral	0.096	0.71	0.194
d9	neutral	0.333	0.395	0.273
bx	neutral	0.408	0.498	0.094
by	neutral	0.277	0.595	0.128
bz	neutral	0.268	0.406	0.326
d@	neutral	0.155	0.731	0.114
ca	neutral	0.017	0.77	0.213
cb	neutral	0.227	0.572	0.201
cc	neutral	0.217	0.569	0.215
cd	neutral	0.048	0.681	0.272
ce	neutral	0.065	0.696	0.239
cf	neutral	0.064	0.786	0.149
cg	neutral	0.088	0.474	0.438
ch	neutral	0.136	0.65	0.214
ci	neutral	0.199	0.609	0.191
@user652571	negative	0.568	0.291	0.141
cj	neutral	0.068	0.638	0.293
ck	neutral	0.075	0.741	0.185
e-	neutral	0.083	0.711	0.206
cl	neutral	0.063	0.789	0.149
cm	neutral	0.098	0.847	0.055
cn	neutral	0.09	0.67	0.24
co	neutral	0.031	0.823	0.146
e1	neutral	0.17	0.594	0.236
cp	neutral	0.132	0.763	0.105
e2	negative	0.521	0.468	0.01
cq	negative	0.537	0.268	0.195
e3	neutral	0.022	0.807	0.171
cr	neutral	0.191	0.607	0.201
e4	neutral	0.078	0.74	0.183
cs	neutral	0.102	0.779	0.118
ct	neutral	0.022	0.806	0.171
cu	neutral	0.141	0.693	0.166
cv	neutral	0.042	0.61	0.349
cw	neutral	0.129	0.78	0.091
cx	neutral	0.218	0.582	0.2
cy	neutral	0.062	0.508	0.43
cz	negative	0.523	0.417	0.06
da	negative	0.623	0.322	0.056
f#	neutral	0.232	0.642	0.127
db	neutral	0.112	0.671	0.217
dc	neutral	0.033	0.816	0.151
dd	neutral	0.246	0.389	0.365
de	neutral	0.121	0.799	0.079
df	neutral	0.449	0.502	0.049
dg	neutral	0.104	0.716	0.18
dh	neutral	0.165	0.617	0.218
f*	negative	0.481	0.449	0.07
di	neutral	0.089	0.807	0.105
dj	neutral	0.08	0.584	0.335
dk	neutral	0.119	0.773	0.108
f-	negative	0.78	0.145	0.075
dl	neutral	0.136	0.747	0.117
dm	neutral	0.042	0.591	0.367
f/	neutral	0.015	0.789	0.196
dn	neutral	0.292	0.557	0.151
do	neutral	0.139	0.742	0.119
f1	neutral	0.031	0.651	0.318
dp	neutral	0.093	0.481	0.425
dq	neutral	0.192	0.773	0.035
f3	neutral	0.004	0.663	0.334
dr	neutral	0.079	0.734	0.187
f4	negative	0.585	0.355	0.06
ds	neutral	0.143	0.705	0.152
f5	neutral	0.121	0.805	0.074
dt	neutral	0.259	0.582	0.159
