word	POS	label	negative	neutral	positive
!-helloo	interjection	positive	0	0.001	0.999
!-hey	interjection	positive	0	0.001	0.999
!-heya	interjection	positive	0	0.001	0.999
!-heyy	interjection	positive	0	0.001	0.999
!-hha	interjection	positive	0	0.001	0.999
!-hhaha	interjection	positive	0	0.001	0.999
!-hi	interjection	positive	0	0.001	0.999
!-hihi	interjection	positive	0	0.001	0.999
!-hihihi	interjection	positive	0	0.001	0.999
!-hii	interjection	positive	0	0.001	0.999
!-hiya	interjection	positive	0	0.001	0.999
!-hmph	interjection	negative	0.999	0.001	0
!-ho	interjection	positive	0	0.001	0.999
!-hola	interjection	positive	0	0.001	0.999
!-holla	interjection	positive	0	0.001	0.999
!-hoo	interjection	positive	0	0.001	0.999
!-huh	interjection	positive	0	0.001	0.999
!-huhu	interjection	negative	0.999	0.001	0
!-humm	interjection	positive	0	0.001	0.999
!-hurray	interjection	positive	0	0.001	0.999
!-iight	interjection	positive	0	0.001	0.999
!-ikr	interjection	negative	0.999	0.001	0
!-iloveyou	interjection	positive	0	0.001	0.999
!-ily	interjection	positive	0	0.001	0.999
!-imy	interjection	negative	0.999	0.001	0
!-j/k	interjection	positive	0	0.001	0.999
!-jaja	interjection	positive	0	0.001	0.999
!-jajaja	interjection	positive	0	0.001	0.999
!-jeez	interjection	negative	0.999	0.001	0
!-jk	interjection	positive	0	0.001	0.999
!-jp	interjection	positive	0	0.001	0.999
!-k	interjection	positive	0	0.001	0.999
!-kk	interjection	positive	0	0.001	0.999
!-l0l	interjection	positive	0	0.001	0.999
!-lalala	interjection	positive	0	0.001	0.999
!-lls	interjection	positive	0	0.001	0.999
!-lmaoo	interjection	positive	0	0.001	0.999
!-lmbo	interjection	positive	0	0.001	0.999
!-lmfaoo	interjection	positive	0	0.001	0.999
!-lml	interjection	positive	0	0.001	0.999
!-lo	interjection	neutral	0.002	0.998	0
!-loll	interjection	positive	0	0.001	0.999
!-lolol	interjection	positive	0	0.001	0.999
!-lololol	interjection	positive	0	0.002	0.998
!-lols	interjection	positive	0	0.001	0.999
!-lolz	interjection	positive	0	0.001	0.999
!-lool	interjection	positive	0	0.001	0.999
!-loveyou	interjection	positive	0	0.001	0.999
!-ly	interjection	positive	0	0.001	0.999
!-ma'am	interjection	positive	0	0.001	0.999
!-meh	interjection	negative	0.999	0.001	0
!-mhm	interjection	positive	0	0.001	0.999
!-mhmm	interjection	positive	0	0.001	0.999
!-mmm	interjection	positive	0	0.001	0.999
!-muah	interjection	positive	0	0.001	0.999
!-muahaha	interjection	positive	0	0.001	0.999
!-mwah	interjection	positive	0	0.001	0.999
!-my	interjection	neutral	0	0.998	0.002
!-na	interjection	neutral	0	0.998	0.002
!-naa	interjection	positive	0	0.001	0.999
!-naah	interjection	positive	0	0.001	0.999
!-nah	interjection	positive	0	0.001	0.999
!-nahh	interjection	positive	0	0.001	0.999
!-nao	interjection	negative	0.999	0.001	0
!-naw	interjection	neutral	0	0.998	0.002
!-naww	interjection	negative	0.985	0.015	0
!-nevermind	interjection	positive	0	0.001	0.999
!-no	interjection	negative	0.876	0.124	0
!-nom	interjection	positive	0	0.001	0.999
!-noo	interjection	negative	0.999	0.001	0
!-nope	interjection	neutral	0	0.998	0.002
!-np	interjection	positive	0	0.001	0.999
!-nvm	interjection	positive	0	0.001	0.999
!-n�â���Â�£o	interjection	negative	0.999	0.001	0
!-o	interjection	positive	0	0.001	0.999
!-ofcourse	interjection	positive	0	0.001	0.999
!-ohh	interjection	positive	0	0.001	0.999
!-ohmygod	interjection	negative	0.815	0.185	0
!-oi	interjection	positive	0	0.272	0.728
!-oii	interjection	positive	0	0.001	0.999
!-ok	interjection	positive	0	0.001	0.999
!-okaay	interjection	positive	0	0.001	0.999
!-okayy	interjection	positive	0	0.001	0.999
!-oke	interjection	positive	0	0.001	0.999
!-okey	interjection	positive	0	0.001	0.999
!-okie	interjection	positive	0	0.001	0.999
!-okk	interjection	positive	0	0.001	0.999
!-om	interjection	positive	0	0.001	0.999
!-omfg	interjection	neutral	0.002	0.998	0
!-omg	interjection	neutral	0.002	0.998	0
!-omgg	interjection	neutral	0.002	0.998	0
!-omgosh	interjection	neutral	0.002	0.998	0
!-omj	interjection	neutral	0	0.776	0.224
!-oo	interjection	positive	0	0.001	0.999
!-ooh	interjection	positive	0	0.001	0.999
!-oohh	interjection	positive	0	0.001	0.999
!-ooi	interjection	positive	0	0.001	0.999
!-ooo	interjection	positive	0	0.001	0.999
!-oooh	interjection	positive	0	0.001	0.999
!-oops	interjection	positive	0	0.001	0.999
!-oppa	interjection	positive	0	0.065	0.935
!-ouch	interjection	negative	0.999	0.001	0
!-ow	interjection	negative	0.999	0.001	0
!-oww	interjection	neutral	0.002	0.998	0
!-p.s	interjection	positive	0	0.001	0.999
!-p.s.	interjection	positive	0	0.001	0.999
!-pc4pc	interjection	positive	0	0.001	0.999
!-pfft	interjection	neutral	0.002	0.998	0
!-phew	interjection	positive	0	0.001	0.999
!-ps	interjection	positive	0	0.001	0.999
!-psh	interjection	positive	0	0.001	0.999
!-pshh	interjection	positive	0	0.001	0.999
!-psst	interjection	positive	0	0.001	0.999
!-r.i.p	interjection	negative	0.999	0.001	0
!-r.i.p.	interjection	negative	0.999	0.001	0
!-rawr	interjection	neutral	0.002	0.998	0
!-rofl	interjection	positive	0	0.001	0.999
!-sheesh	interjection	neutral	0.002	0.998	0
!-shh	interjection	positive	0	0.001	0.999
!-sho	interjection	positive	0	0.001	0.999
!-shucks	interjection	positive	0	0.343	0.657
!-srry	interjection	negative	0.999	0.001	0
!-sry	interjection	negative	0.999	0.001	0
!-stfu	interjection	neutral	0	0.97	0.03
!-sup	interjection	positive	0	0.001	0.999
!-teehee	interjection	positive	0	0.001	0.999
!-tehe	interjection	positive	0	0.001	0.999
!-tgif	interjection	positive	0	0.001	0.999
!-thankyou	interjection	positive	0	0.001	0.999
!-tsk	interjection	negative	0.999	0.001	0
!-ttyl	interjection	positive	0	0.001	0.999
!-twugs	interjection	positive	0	0.001	0.999
!-ty	interjection	positive	0	0.001	0.999
!-uggh	interjection	negative	0.999	0.001	0
!-ugghh	interjection	negative	0.999	0.001	0
!-ughh	interjection	negative	0.999	0.001	0
!-uh	interjection	neutral	0	0.998	0.002
!-uhh	interjection	neutral	0.002	0.998	0
!-uhm	interjection	positive	0	0.001	0.999
!-uhmm	interjection	positive	0	0.001	0.999
!-um	interjection	positive	0	0.001	0.999
!-umm	interjection	positive	0	0.001	0.999
!-urgh	interjection	negative	0.999	0.001	0
!-w00t	interjection	positive	0	0.001	0.999
!-waa	interjection	negative	0.999	0.001	0
!-waah	interjection	negative	0.999	0.001	0
!-wah	interjection	negative	0.999	0.001	0
!-wahh	interjection	negative	0.999	0.001	0
!-wahoo	interjection	positive	0	0.001	0.999
!-wassup	interjection	positive	0	0.001	0.999
!-wbu	interjection	positive	0	0.001	0.999
!-welp	interjection	neutral	0.002	0.998	0
!-whaat	interjection	negative	0.999	0.001	0
!-whee	interjection	positive	0	0.001	0.999
!-whew	interjection	positive	0	0.001	0.999
!-whoaa	interjection	positive	0	0.001	0.999
!-whoo	interjection	positive	0	0.001	0.999
!-whoohoo	interjection	positive	0	0.001	0.999
!-whoops	interjection	positive	0	0.001	0.999
!-whoot	interjection	positive	0	0.001	0.999
!-woah	interjection	positive	0	0.001	0.999
!-woahh	interjection	positive	0	0.001	0.999
!-wohoo	interjection	positive	0	0.001	0.999
!-woo	interjection	positive	0	0.001	0.999
!-wooh	interjection	positive	0	0.001	0.999
!-woohoo	interjection	positive	0	0.001	0.999
!-woop	interjection	positive	0	0.001	0.999
!-woot	interjection	positive	0	0.001	0.999
!-woow	interjection	positive	0	0.001	0.999
!-woww	interjection	neutral	0	0.998	0.002
!-wtf	interjection	negative	0.999	0.001	0
!-wth	interjection	negative	0.999	0.001	0
!-ya	interjection	positive	0	0.001	0.999
!-yaa	interjection	positive	0	0.001	0.999
!-yaah	interjection	negative	0.999	0.001	0
!-yaay	interjection	positive	0	0.001	0.999
!-yaayy	interjection	positive	0	0.001	0.999
!-yah	interjection	positive	0	0.001	0.999
!-yahh	interjection	positive	0	0.001	0.999
!-yang	interjection	positive	0	0.001	0.999
!-yaya	interjection	positive	0	0.001	0.999
!-yayy	interjection	positive	0	0.001	0.999
!-yeaa	interjection	positive	0	0.001	0.999
!-yeaah	interjection	positive	0	0.001	0.999
!-yeaahh	interjection	positive	0	0.001	0.999
!-yeahh	interjection	positive	0	0.001	0.999
!-yeap	interjection	positive	0	0.001	0.999
!-yeay	interjection	positive	0	0.001	0.999
!-yee	interjection	positive	0	0.001	0.999
!-yeeah	interjection	positive	0	0.001	0.999
!-yees	interjection	positive	0	0.001	0.999
!-yeess	interjection	positive	0	0.001	0.999
!-yeh	interjection	positive	0	0.001	0.999
!-yehh	interjection	neutral	0	0.998	0.002
!-yepp	interjection	positive	0	0.001	0.999
!-yesh	interjection	positive	0	0.001	0.999
!-yess	interjection	positive	0	0.001	0.999
!-yessir	interjection	positive	0	0.001	0.999
!-yey	interjection	positive	0	0.001	0.999
!-yg	interjection	positive	0	0.001	0.999
!-yh	interjection	negative	0.714	0.286	0
!-yikes	interjection	negative	0.999	0.001	0
!-yipee	interjection	positive	0	0.001	0.999
!-yippee	interjection	positive	0	0.001	0.999
!-yo	interjection	positive	0	0.001	0.999
!-yoo	interjection	neutral	0	0.998	0.002
!-yuck	interjection	negative	0.999	0.001	0
!-yuk	interjection	negative	0.999	0.001	0
!-yum	interjection	positive	0	0.001	0.999
!-yumm	interjection	positive	0	0.001	0.999
!-yup	interjection	positive	0	0.001	0.999
!-yupp	interjection	positive	0	0.001	0.999
!-yuup	interjection	positive	0	0.001	0.999
!-yw	interjection	positive	0	0.001	0.999
!-zomg	interjection	neutral	0	0.998	0.002
#-#	hashtag	neutral	0	0.998	0.002
#-#09memories	hashtag	neutral	0	0.998	0.002
#-#10yearsago	hashtag	negative	0.999	0.001	0
#-#aintnothinglike	hashtag	positive	0	0.001	0.999
#-#bestfeeling	hashtag	positive	0	0.001	0.999
#-#bieberblastbaby	hashtag	neutral	0.002	0.998	0
#-#cbb7	hashtag	negative	0.999	0.001	0
#-#fact	hashtag	positive	0	0.001	0.999
#-#factaboutme	hashtag	neutral	0	0.998	0.002
#-#factsaboutme	hashtag	neutral	0	0.998	0.002
#-#fail	hashtag	negative	0.999	0.001	0
#-#fb	hashtag	neutral	0	0.998	0.002
#-#ff	hashtag	positive	0	0.001	0.999
#-#followfriday	hashtag	positive	0	0.001	0.999
#-#formspringme	hashtag	positive	0	0.001	0.999
#-#frys	hashtag	neutral	0	0.998	0.002
#-#happybdayarchie	hashtag	neutral	0.002	0.998	0
#-#iamthankfulfor	hashtag	positive	0	0.001	0.999
#-#igrewupon	hashtag	neutral	0	0.998	0.002
#-#ihatequotes	hashtag	neutral	0	0.998	0.002
#-#iloveitwhen	hashtag	positive	0.004	0	0.996
#-#imthankfulfor	hashtag	positive	0	0.001	0.999
#-#in2010	hashtag	positive	0	0.001	0.999
#-#iranelection	hashtag	negative	0.999	0.001	0
#-#itsabieberthing	hashtag	neutral	0	0.998	0.002
#-#itsajonasthing	hashtag	neutral	0	0.998	0.002
#-#jgf	hashtag	positive	0	0.001	0.999
#-#jonasmemories	hashtag	neutral	0.003	0.966	0.031
#-#justbecause	hashtag	positive	0	0.001	0.999
#-#justsayin	hashtag	neutral	0	0.998	0.002
#-#letsbehonest	hashtag	neutral	0.002	0.998	0
#-#mm	hashtag	positive	0	0.001	0.999
#-#musicmonday	hashtag	positive	0	0.001	0.999
#-#nowplaying	hashtag	positive	0	0.001	0.999
#-#omgfacts	hashtag	neutral	0	0.998	0.002
#-#quote	hashtag	positive	0	0.001	0.999
#-#random	hashtag	neutral	0	0.998	0.002
#-#red	hashtag	neutral	0.002	0.998	0
#-#secretturnon	hashtag	neutral	0	0.998	0.002
#-#shoutouts	hashtag	positive	0	0.001	0.999
#-#tcot	hashtag	negative	0.999	0.001	0
#-#thingsilike	hashtag	positive	0	0.001	0.999
#-#thingsilove	hashtag	positive	0	0.001	0.999
#-#thisiswar	hashtag	positive	0	0.001	0.999
#-#threewordsforyou	hashtag	neutral	0	0.998	0.002
#-#tobehonest	hashtag	neutral	0.002	0.998	0
#-#twitition	hashtag	positive	0	0.001	0.999
#-#twitterafterdark	hashtag	positive	0	0.001	0.999
#-#uksnow	hashtag	negative	0.999	0.001	0
#-#we	hashtag	positive	0	0.001	0.999
#-#whatislove	hashtag	neutral	0.002	0.998	0
#-#whoiam	hashtag	positive	0	0.001	0.999
#-#youreajonasfan	hashtag	neutral	0.002	0.998	0
$-#1	numeral	positive	0	0.001	0.999
$-#2	numeral	neutral	0	0.998	0.002
$-#3	numeral	neutral	0	0.998	0.002
$-#4	numeral	neutral	0	0.998	0.002
$-$1	numeral	neutral	0	0.998	0.002
$-$10	numeral	neutral	0	0.998	0.002
$-$100	numeral	neutral	0	0.998	0.002
$-$20	numeral	neutral	0	0.998	0.002
$-$25	numeral	neutral	0	0.998	0.002
$-$5	numeral	positive	0	0.001	0.999
$-$50	numeral	neutral	0	0.998	0.002
$-$500	numeral	neutral	0.002	0.998	0
$-0	numeral	neutral	0	0.998	0.002
$-09	numeral	neutral	0	0.998	0.002
$-1	numeral	neutral	0	0.998	0.002
$-1,000	numeral	neutral	0	0.998	0.002
$-1.5	numeral	neutral	0.003	0.997	0
$-1/2	numeral	neutral	0	0.998	0.002
$-10	numeral	neutral	0	0.998	0.002
$-10%	numeral	neutral	0	0.998	0.002
$-10,000	numeral	neutral	0	0.998	0.002
$-100	numeral	positive	0	0.001	0.999
$-100%	numeral	neutral	0	0.534	0.466
$-1000	numeral	positive	0	0.001	0.999
$-1000th	numeral	positive	0	0.001	0.999
$-101	numeral	neutral	0	0.998	0.002
$-106	numeral	neutral	0.002	0.998	0
$-10:30	numeral	neutral	0	0.998	0.002
$-10am	numeral	neutral	0.002	0.998	0
$-10pm	numeral	neutral	0.002	0.998	0
$-11	numeral	neutral	0	0.998	0.002
$-11:11	numeral	neutral	0	0.998	0.002
$-11:30	numeral	neutral	0.002	0.998	0
$-11am	numeral	neutral	0	0.998	0.002
$-11pm	numeral	neutral	0.002	0.998	0
$-11th	numeral	neutral	0	0.998	0.002
$-12	numeral	neutral	0	0.998	0.002
$-120	numeral	positive	0	0.001	0.999
$-12:30	numeral	neutral	0.002	0.998	0
$-12am	numeral	neutral	0	0.998	0.002
$-12th	numeral	neutral	0	0.998	0.002
$-13	numeral	neutral	0	0.998	0.002
$-13th	numeral	neutral	0	0.998	0.002
$-14	numeral	neutral	0	0.998	0.002
$-140	numeral	positive	0	0.001	0.999
$-14th	numeral	neutral	0.002	0.998	0
$-15	numeral	neutral	0	0.998	0.002
$-150	numeral	positive	0	0.001	0.999
$-15th	numeral	positive	0	0.324	0.676
$-16	numeral	neutral	0	0.998	0.002
$-16th	numeral	neutral	0	0.998	0.002
$-17	numeral	neutral	0	0.998	0.002
$-17th	numeral	neutral	0	0.998	0.002
$-18	numeral	neutral	0	0.998	0.002
$-18th	numeral	neutral	0	0.998	0.002
$-19	numeral	neutral	0	0.998	0.002
$-19th	numeral	neutral	0	0.998	0.002
$-1:30	numeral	neutral	0	0.998	0.002
$-1am	numeral	neutral	0.002	0.998	0
$-1pm	numeral	neutral	0	0.998	0.002
$-1st	numeral	neutral	0	0.998	0.002
$-2	numeral	neutral	0	0.998	0.002
$-2,000	numeral	neutral	0	0.998	0.002
$-2-3	numeral	neutral	0.002	0.998	0
$-2.0	numeral	neutral	0	0.998	0.002
$-2.5	numeral	neutral	0.002	0.998	0
$-20	numeral	neutral	0	0.998	0.002
$-20%	numeral	neutral	0.002	0.998	0
$-200	numeral	positive	0	0.001	0.999
$-2000	numeral	neutral	0	0.998	0.002
$-2007	numeral	neutral	0.002	0.998	0
$-2008	numeral	neutral	0	0.998	0.002
$-2009	numeral	neutral	0	0.998	0.002
$-2010	numeral	positive	0	0.001	0.999
$-2011	numeral	neutral	0.002	0.998	0
$-2012	numeral	neutral	0	0.998	0.002
$-20th	numeral	neutral	0.002	0.998	0
$-21	numeral	neutral	0	0.998	0.002
$-22	numeral	neutral	0	0.998	0.002
$-22nd	numeral	neutral	0	0.998	0.002
$-23	numeral	neutral	0	0.998	0.002
$-23rd	numeral	neutral	0	0.998	0.002
$-24	numeral	neutral	0	0.998	0.002
$-25	numeral	neutral	0	0.998	0.002
$-250	numeral	positive	0	0.001	0.999
$-26	numeral	neutral	0	0.998	0.002
$-27	numeral	neutral	0	0.998	0.002
$-28	numeral	neutral	0	0.998	0.002
$-28th	numeral	neutral	0	0.998	0.002
$-29	numeral	neutral	0	0.998	0.002
$-2:30	numeral	neutral	0	0.998	0.002
$-2am	numeral	neutral	0.002	0.998	0
$-2nd	numeral	neutral	0	0.998	0.002
$-2pm	numeral	neutral	0	0.998	0.002
$-3	numeral	neutral	0	0.998	0.002
$-3.5	numeral	neutral	0.002	0.998	0
$-30	numeral	neutral	0	0.998	0.002
$-300	numeral	neutral	0	0.998	0.002
$-3000	numeral	positive	0	0.001	0.999
$-31	numeral	neutral	0	0.997	0.003
$-32	numeral	neutral	0	0.998	0.002
$-33	numeral	neutral	0	0.998	0.002
$-34	numeral	neutral	0	0.998	0.002
$-35	numeral	neutral	0	0.998	0.002
$-36	numeral	neutral	0	0.998	0.002
$-360	numeral	neutral	0	0.998	0.002
$-365	numeral	neutral	0	0.998	0.002
$-37	numeral	neutral	0	0.998	0.002
$-38	numeral	neutral	0	0.998	0.002
$-39	numeral	neutral	0	0.998	0.002
$-3:30	numeral	neutral	0	0.998	0.002
$-3am	numeral	neutral	0.002	0.998	0
$-3pm	numeral	neutral	0	0.998	0.002
$-3rd	numeral	neutral	0	0.998	0.002
$-4	numeral	neutral	0	0.998	0.002
$-40	numeral	neutral	0	0.998	0.002
$-400	numeral	positive	0	0.009	0.991
$-41	numeral	neutral	0	0.998	0.002
$-42	numeral	neutral	0	0.998	0.002
$-43	numeral	positive	0	0.001	0.999
$-44	numeral	positive	0	0.001	0.999
$-45	numeral	neutral	0	0.998	0.002
$-46	numeral	neutral	0	0.998	0.002
$-47	numeral	neutral	0	0.998	0.002
$-48	numeral	neutral	0	0.998	0.002
$-49	numeral	positive	0	0.001	0.999
$-4:30	numeral	neutral	0.253	0.747	0
$-4am	numeral	neutral	0.002	0.998	0
$-4pm	numeral	neutral	0	0.998	0.002
$-5	numeral	neutral	0	0.998	0.002
$-50	numeral	neutral	0	0.998	0.002
$-50%	numeral	neutral	0	0.998	0.002
$-500	numeral	neutral	0	0.998	0.002
$-5000	numeral	neutral	0	0.998	0.002
$-51	numeral	positive	0	0.087	0.913
$-52	numeral	neutral	0	0.998	0.002
$-53	numeral	neutral	0	0.998	0.002
$-54	numeral	neutral	0	0.998	0.002
$-55	numeral	neutral	0	0.998	0.002
$-56	numeral	neutral	0	0.998	0.002
$-57	numeral	neutral	0	0.998	0.002
$-58	numeral	neutral	0	0.998	0.002
$-59	numeral	positive	0	0.001	0.999
$-5:30	numeral	neutral	0.002	0.998	0
$-5am	numeral	negative	0.999	0.001	0
$-5pm	numeral	neutral	0	0.998	0.002
$-5th	numeral	neutral	0	0.998	0.002
$-6	numeral	neutral	0	0.998	0.002
$-60	numeral	neutral	0	0.998	0.002
$-600	numeral	positive	0	0.001	0.999
$-61	numeral	neutral	0	0.998	0.002
$-64	numeral	neutral	0	0.998	0.002
$-65	numeral	neutral	0	0.998	0.002
$-69	numeral	neutral	0	0.998	0.002
$-6:30	numeral	neutral	0.002	0.998	0
$-6am	numeral	negative	0.999	0.001	0
$-6pm	numeral	neutral	0	0.998	0.002
$-7	numeral	neutral	0	0.998	0.002
$-70	numeral	neutral	0	0.998	0.002
$-700	numeral	positive	0	0.001	0.999
$-75	numeral	neutral	0	0.998	0.002
$-7:30	numeral	neutral	0.002	0.998	0
$-7am	numeral	neutral	0.175	0.825	0
$-7pm	numeral	neutral	0	0.998	0.002
$-8	numeral	neutral	0	0.998	0.002
$-80	numeral	neutral	0	0.998	0.002
$-80's	numeral	positive	0	0.001	0.999
$-800	numeral	neutral	0	0.998	0.002
$-8:30	numeral	neutral	0.002	0.998	0
$-8am	numeral	negative	0.999	0.001	0
$-8pm	numeral	neutral	0	0.998	0.002
$-9	numeral	neutral	0	0.998	0.002
$-90	numeral	neutral	0.002	0.998	0
$-90%	numeral	neutral	0	0.998	0.002
$-90's	numeral	neutral	0	0.998	0.002
$-900	numeral	positive	0	0.001	0.999
$-90210	numeral	neutral	0.002	0.998	0
$-99	numeral	neutral	0.002	0.998	0
$-9:30	numeral	neutral	0.001	0.998	0.001
$-9am	numeral	neutral	0.002	0.998	0
$-9pm	numeral	neutral	0	0.998	0.002
$-eight	numeral	neutral	0	0.998	0.002
$-fifteen	numeral	neutral	0	0.998	0.002
$-five	numeral	neutral	0	0.998	0.002
$-four	numeral	neutral	0	0.998	0.002
$-mw2	numeral	neutral	0.001	0.998	0.001
$-one	numeral	positive	0	0.002	0.998
$-onee	numeral	neutral	0	0.998	0.002
$-seven	numeral	neutral	0	0.998	0.002
$-six	numeral	neutral	0	0.998	0.002
$-three	numeral	neutral	0	0.998	0.002
