word	label	negative	neutral	positive
$5	neutral	0.037	0.706	0.257
$6	neutral	0.043	0.827	0.13
$7	neutral	0.081	0.73	0.189
$8	neutral	0.043	0.827	0.13
$9	neutral	0.095	0.802	0.102
#i	neutral	0.14	0.647	0.213
#k	negative	0.453	0.242	0.305
definetely	positive	0.135	0.268	0.597
#m	neutral	0.285	0.555	0.16
#s	neutral	0.23	0.59	0.18
#t	positive	0.361	0.187	0.452
#v	neutral	0.178	0.648	0.174
fmll	negative	0.817	0.162	0.021
&&	neutral	0.151	0.514	0.335
'&\''	neutral	0.179	0.506	0.315
&*	neutral	0.194	0.632	0.174
&+	neutral	0.093	0.489	0.418
destress	neutral	0.104	0.834	0.062
'\'\''	neutral	0.091	0.684	0.225
billions	neutral	0.438	0.439	0.123
&`	neutral	0.201	0.678	0.121
(&	positive	0.016	0.274	0.709
'(\''	positive	0.325	0.331	0.344
((	negative	0.508	0.309	0.183
()	negative	0.673	0.323	0.004
(*	neutral	0.215	0.598	0.187
&i	negative	0.728	0.046	0.226
(+	positive	0.025	0.26	0.715
(-	neutral	0.046	0.757	0.196
attempt	neutral	0.181	0.709	0.11
(;	positive	0.139	0.173	0.688
(=	positive	0.116	0.151	0.733
(@	neutral	0.038	0.865	0.097
)&	neutral	0.247	0.712	0.041
')\''	neutral	0.303	0.443	0.254
)(	neutral	0.285	0.686	0.029
))	positive	0.046	0.339	0.615
)*	neutral	0.227	0.494	0.279
)-	positive	0.218	0.333	0.45
);	neutral	0.48	0.483	0.037
)=	negative	0.612	0.375	0.013
'*\''	negative	0.56	0.141	0.299
*(	negative	0.804	0.143	0.053
*)	neutral	0.254	0.66	0.086
**	positive	0.115	0.347	0.538
(i	positive	0.128	0.21	0.661
*-	neutral	0.017	0.614	0.369
(l	positive	0.011	0.131	0.858
)]	neutral	0.446	0.554	0
+&	neutral	0.045	0.657	0.297
+)	neutral	0.013	0.598	0.389
++	neutral	0.368	0.486	0.145
)i	neutral	0.049	0.636	0.315
1	neutral	0.108	0.574	0.319
2	neutral	0.004	0.603	0.393
3	neutral	0.045	0.816	0.139
4	neutral	0.032	0.737	0.232
7	neutral	0.045	0.905	0.051
8	negative	0.638	0.353	0.009
*]	neutral	0.095	0.76	0.145
',!'	positive	0.375	0.164	0.461
',,'	neutral	0.148	0.504	0.348
',.'	neutral	0.282	0.39	0.329
(¸	negative	0.941	0.002	0.057
',?'	negative	0.546	0.266	0.188
-$	negative	0.527	0.134	0.339
-&	negative	0.485	0.412	0.103
'-\''	neutral	0.129	0.52	0.351
-(	negative	0.721	0.191	0.088
-)	negative	0.43	0.378	0.192
-*	positive	0.131	0.224	0.645
+i	positive	0.364	0.148	0.488
--	neutral	0.337	0.374	0.29
0	negative	0.673	0.187	0.14
-1	neutral	0.137	0.629	0.234
-2	neutral	0.099	0.867	0.034
-3	neutral	0.148	0.827	0.025
-4	neutral	0.235	0.753	0.011
-5	neutral	0.061	0.905	0.034
-6	neutral	0.112	0.861	0.027
)²	neutral	0.473	0.527	0
-7	neutral	0.134	0.818	0.047
-8	neutral	0.097	0.85	0.053
-9	neutral	0.144	0.807	0.049
messengers	neutral	0.227	0.609	0.165
->	neutral	0.039	0.584	0.377
.!	positive	0.205	0.265	0.529
'.,'	neutral	0.265	0.46	0.275
..	negative	0.546	0.309	0.145
.?	neutral	0.338	0.46	0.202
-a	positive	0.133	0.375	0.492
-c	neutral	0.189	0.719	0.092
-d	neutral	0.067	0.643	0.29
-e	positive	0.048	0.053	0.899
-h	neutral	0.301	0.567	0.132
-i	neutral	0.316	0.48	0.203
-j	negative	0.748	0.175	0.077
-l	negative	0.571	0.261	0.167
//	neutral	0.199	0.482	0.32
-m	positive	0.098	0.269	0.633
-n	positive	0.217	0.229	0.555
-p	negative	0.545	0.404	0.051
/2	neutral	0.263	0.394	0.343
-q	positive	0.177	0.374	0.448
/3	positive	0.117	0.284	0.599
nederland	neutral	0.127	0.835	0.038
-r	positive	0.092	0.341	0.567
-s	neutral	0.072	0.718	0.209
-t	neutral	0.218	0.767	0.015
-u	positive	0.005	0.375	0.62
-x	negative	0.642	0.25	0.109
/:	negative	0.898	0.077	0.025
/=	negative	0.75	0.248	0.002
'0\%'	positive	0.135	0.377	0.488
'wood\'s'	negative	0.69	0.285	0.025
0	neutral	0.141	0.609	0.251
1	neutral	0.106	0.701	0.192
2	neutral	0.061	0.867	0.072
3	neutral	0.037	0.719	0.244
4	neutral	0.127	0.824	0.049
5	neutral	0.13	0.797	0.073
6	negative	0.373	0.359	0.268
7	neutral	0.122	0.744	0.134
8	neutral	0.181	0.585	0.234
9	positive	0.045	0.441	0.513
/]	neutral	0.011	0.911	0.077
1#	positive	0.09	0.305	0.606
'1\%'	neutral	0.192	0.725	0.083
1+	neutral	0.043	0.947	0.009
/i	positive	0.088	0.441	0.472
1-	neutral	0.216	0.708	0.077
10	neutral	0.085	0.729	0.186
11	neutral	0.166	0.774	0.06
/o	negative	0.622	0.093	0.285
12	neutral	0.227	0.688	0.085
13	neutral	0.185	0.716	0.099
14	neutral	0.128	0.733	0.139
15	neutral	0.049	0.801	0.15
16	neutral	0.122	0.741	0.137
17	neutral	0.103	0.729	0.168
/u	neutral	0.277	0.414	0.309
18	neutral	0.13	0.763	0.107
19	neutral	0.099	0.748	0.153
-»	positive	0.019	0.328	0.652
'2\%'	neutral	0.099	0.643	0.258
burfday	positive	0.027	0.244	0.729
0f	neutral	0.284	0.385	0.331
0h	negative	0.59	0.238	0.172
2+	neutral	0.138	0.833	0.029
2-	neutral	0.069	0.796	0.135
0k	neutral	0.425	0.499	0.075
20	neutral	0.035	0.681	0.285
0n	neutral	0.31	0.571	0.119
21	neutral	0.112	0.708	0.18
22	neutral	0.089	0.783	0.128
23	neutral	0.092	0.798	0.11
24	neutral	0.161	0.747	0.092
0r	neutral	0.383	0.597	0.02
25	neutral	0.037	0.679	0.283
26	neutral	0.119	0.768	0.113
27	neutral	0.095	0.75	0.154
28	neutral	0.106	0.765	0.128
29	neutral	0.117	0.774	0.108
1a	neutral	0.083	0.856	0.061
'3\%'	neutral	0.328	0.595	0.077
1e	neutral	0.205	0.744	0.052
1h	neutral	0.092	0.721	0.187
3+	neutral	0.232	0.763	0.005
1k	neutral	0.173	0.62	0.207
3-	neutral	0.033	0.722	0.245
1m	neutral	0.119	0.686	0.196
30	neutral	0.052	0.757	0.191
31	neutral	0.089	0.795	0.117
1o	neutral	0.186	0.672	0.142
32	neutral	0.162	0.74	0.097
1p	neutral	0.157	0.619	0.224
33	neutral	0.079	0.786	0.135
34	neutral	0.122	0.785	0.093
35	neutral	0.043	0.762	0.195
1s	neutral	0.176	0.638	0.186
36	neutral	0.103	0.82	0.077
37	neutral	0.092	0.805	0.103
38	neutral	0.113	0.818	0.069
39	neutral	0.106	0.804	0.09
1x	neutral	0.029	0.855	0.116
2a	neutral	0.031	0.776	0.194
2b	neutral	0.29	0.434	0.276
'4\%'	neutral	0.218	0.674	0.109
2c	neutral	0.22	0.588	0.192
2d	neutral	0.054	0.871	0.075
2g	neutral	0.11	0.755	0.135
2h	neutral	0.323	0.51	0.168
4+	neutral	0.23	0.754	0.016
2k	neutral	0.089	0.691	0.22
4-	neutral	0.05	0.579	0.371
2m	neutral	0.28	0.596	0.124
40	neutral	0.039	0.743	0.219
41	neutral	0.125	0.781	0.094
2o	neutral	0.169	0.635	0.196
42	neutral	0.152	0.76	0.088
2p	neutral	0.007	0.943	0.05
43	neutral	0.109	0.835	0.056
44	neutral	0.064	0.714	0.222
45	neutral	0.054	0.811	0.134
2s	neutral	0.009	0.79	0.201
46	neutral	0.09	0.771	0.139
47	neutral	0.093	0.801	0.107
2u	neutral	0.049	0.542	0.409
48	neutral	0.156	0.785	0.059
49	neutral	0.079	0.8	0.121
2x	neutral	0.125	0.807	0.068
5$	neutral	0.055	0.636	0.309
'5\%'	neutral	0.131	0.65	0.219
3d	neutral	0.038	0.818	0.144
techcrunch	neutral	0.25	0.688	0.062
3g	neutral	0.139	0.743	0.118
3h	neutral	0.284	0.641	0.074
5+	neutral	0.053	0.789	0.157
3i	negative	0.45	0.114	0.436
3k	neutral	0.179	0.679	0.141
5-	neutral	0.017	0.925	0.058
1ª	neutral	0.065	0.906	0.029
3m	neutral	0.411	0.491	0.099
50	neutral	0.074	0.759	0.167
51	neutral	0.096	0.81	0.094
3o	neutral	0.033	0.793	0.174
52	neutral	0.117	0.801	0.082
53	neutral	0.088	0.816	0.096
54	neutral	0.092	0.802	0.106
1°	neutral	0.182	0.743	0.075
55	neutral	0.054	0.803	0.143
3s	neutral	0.145	0.804	0.051
56	neutral	0.114	0.806	0.08
57	neutral	0.123	0.799	0.078
58	neutral	0.133	0.808	0.059
59	neutral	0.119	0.798	0.083
3x	neutral	0.177	0.69	0.133
1º	neutral	0.301	0.583	0.116
#ls10	neutral	0.129	0.775	0.096
4a	negative	0.582	0.376	0.042
4d	positive	0.061	0.266	0.673
4e	neutral	0.044	0.812	0.145
4g	neutral	0.16	0.633	0.208
4h	neutral	0.447	0.509	0.044
6+	neutral	0.396	0.6	0.003
4k	neutral	0.135	0.779	0.086
2ª	neutral	0.118	0.836	0.046
4m	neutral	0.161	0.582	0.257
60	neutral	0.034	0.767	0.199
61	neutral	0.048	0.773	0.179
62	neutral	0.135	0.746	0.119
63	neutral	0.071	0.692	0.237
64	neutral	0.071	0.778	0.152
65	neutral	0.113	0.747	0.14
66	neutral	0.037	0.811	0.151
67	neutral	0.047	0.852	0.101
4u	neutral	0.156	0.506	0.338
68	neutral	0.021	0.809	0.17
69	neutral	0.152	0.722	0.127
4x	neutral	0.166	0.744	0.089
2º	neutral	0.393	0.579	0.029
5a	neutral	0.069	0.522	0.409
'7\%'	neutral	0.344	0.515	0.14
5d	neutral	0.026	0.8	0.174
5h	neutral	0.257	0.577	0.166
@user231190	neutral	0.125	0.652	0.222
5k	neutral	0.112	0.59	0.298
70	neutral	0.077	0.787	0.136
71	neutral	0.034	0.707	0.258
5o	neutral	0.026	0.645	0.329
72	neutral	0.23	0.717	0.053
5p	neutral	0.035	0.528	0.438
73	neutral	0.077	0.859	0.064
74	neutral	0.033	0.786	0.181
5s	neutral	0.05	0.65	0.3
75	neutral	0.125	0.786	0.089
76	neutral	0.085	0.788	0.127
77	neutral	0.079	0.821	0.1
78	neutral	0.071	0.81	0.119
79	neutral	0.175	0.741	0.083
5x	neutral	0.307	0.59	0.103
3º	neutral	0.229	0.664	0.107
6a	neutral	0.138	0.698	0.164
'8\%'	neutral	0.119	0.806	0.075
6h	neutral	0.072	0.882	0.046
8+	neutral	0.157	0.551	0.292
6k	neutral	0.11	0.722	0.169
8-	neutral	0.115	0.664	0.221
80	neutral	0.107	0.762	0.131
81	neutral	0.126	0.66	0.214
82	neutral	0.043	0.767	0.19
6p	negative	0.462	0.438	0.1
83	neutral	0.089	0.735	0.176
84	neutral	0.061	0.71	0.23
85	neutral	0.142	0.738	0.121
86	neutral	0.222	0.707	0.071
87	neutral	0.17	0.686	0.144
88	neutral	0.061	0.812	0.127
89	neutral	0.082	0.824	0.094
7a	neutral	0.106	0.772	0.122
'9\%'	neutral	0.019	0.887	0.094
7d	neutral	0.022	0.708	0.271
9-	neutral	0.291	0.665	0.044
bytheway	neutral	0.034	0.509	0.456
alchohol	neutral	0.286	0.676	0.038
90	neutral	0.025	0.729	0.246
91	neutral	0.053	0.844	0.103
92	neutral	0.025	0.7	0.275
93	neutral	0.032	0.813	0.155
94	neutral	0.045	0.822	0.133
95	neutral	0.121	0.786	0.093
7s	neutral	0.129	0.644	0.227
96	neutral	0.119	0.776	0.105
97	neutral	0.106	0.746	0.148
98	neutral	0.168	0.711	0.121
99	neutral	0.104	0.693	0.202
8d	positive	0.166	0.223	0.611
8k	neutral	0.161	0.772	0.067
betsey	neutral	0.024	0.866	0.11
8p	neutral	0.052	0.775	0.174
wingstop	neutral	0.088	0.647	0.265
::	neutral	0.192	0.414	0.395
:;	negative	0.434	0.382	0.184
;(	negative	0.858	0.119	0.023
;)	positive	0.057	0.215	0.728
;/	negative	0.741	0.236	0.023
9p	neutral	0.054	0.874	0.072
;3	positive	0.027	0.305	0.668
;;	neutral	0.377	0.422	0.201
:[	negative	0.824	0.151	0.025
<-	neutral	0.136	0.502	0.362
:s	negative	0.823	0.159	0.018
<<	positive	0.106	0.397	0.497
;[	negative	0.824	0.103	0.073
<=	neutral	0.066	0.469	0.465
':{'	negative	0.815	0.165	0.02
:|	negative	0.834	0.15	0.016
<>	neutral	0.244	0.473	0.283
;]	positive	0.083	0.174	0.744
':}'	positive	0.059	0.314	0.627
;d	positive	0.089	0.195	0.715
Err:510	negative	0.876	0.089	0.036
;o	positive	0.264	0.349	0.387
;p	positive	0.207	0.132	0.662
3	neutral	0.238	0.401	0.361
;s	neutral	0.238	0.519	0.243
;|	negative	0.826	0.112	0.062
Err:510	neutral	0.079	0.507	0.415
';}'	positive	0.061	0.068	0.871
>>	positive	0.114	0.378	0.508
?!	negative	0.509	0.349	0.142
#REF!	positive	0.042	0.184	0.774
'?,'	neutral	0.092	0.772	0.136
?.	neutral	0.19	0.727	0.083
#REF!	negative	0.429	0.393	0.179
#REF!	positive	0.132	0.203	0.665
#REF!	negative	0.681	0.289	0.029
Err:520	negative	0.868	0.113	0.019
??	neutral	0.235	0.456	0.309
'=}'	positive	0.073	0.074	0.853
@6	neutral	0.062	0.777	0.161
buckhead	neutral	0.005	0.966	0.029
flirt	negative	0.587	0.233	0.179
meninos	neutral	0.108	0.648	0.244
h0me	negative	0.473	0.416	0.111
tyrone	neutral	0.227	0.648	0.125
flips	neutral	0.242	0.585	0.172
h0pe	positive	0.193	0.147	0.659
goinng	neutral	0.18	0.729	0.091
@user377478	positive	0.01	0.124	0.866
@user6176567	positive	0.063	0.317	0.62
crawling	neutral	0.474	0.513	0.013
remastered	positive	0.165	0.128	0.706
yuukk	neutral	0.147	0.586	0.267
#bewareof	negative	0.66	0.157	0.183
25mins	neutral	0.259	0.516	0.226
hopfully	neutral	0.048	0.722	0.23
skinnier	negative	0.611	0.026	0.363
skinnies	neutral	0.104	0.836	0.06
latvian	positive	0.139	0.244	0.616
flies	positive	0.326	0.308	0.366
flick	neutral	0.283	0.675	0.042
#krisallen	neutral	0.313	0.522	0.164
vibes	positive	0.005	0.397	0.599
'vid\'s'	positive	0.032	0.303	0.664
'station\'s'	neutral	0.187	0.566	0.248
@user1188926	positive	0.005	0.073	0.922
temporada	neutral	0.094	0.867	0.039
bolivia	positive	0.026	0.405	0.569
foes	neutral	0.146	0.511	0.343
rained	negative	0.556	0.396	0.048
[&	neutral	0.246	0.664	0.09
[*	neutral	0.34	0.386	0.273
samasama	positive	0.009	0.323	0.668
[/	negative	0.562	0.083	0.355
foda	neutral	0.203	0.459	0.338
[:	positive	0.089	0.168	0.743
[;	positive	0.034	0.287	0.679
fogo	neutral	0.311	0.621	0.068
[=	positive	0.269	0.064	0.666
#rockergiveaway	neutral	0.125	0.534	0.341
starshine	neutral	0.217	0.518	0.265
harrassing	negative	0.486	0.052	0.462
[[	negative	0.488	0.408	0.104
fofo	positive	0.173	0.382	0.445
[]	neutral	0.34	0.514	0.146
])	neutral	0.094	0.887	0.018
]*	neutral	0.158	0.71	0.132
fofa	neutral	0.109	0.463	0.428
]:	neutral	0.284	0.639	0.077
];	negative	0.576	0.375	0.048
foie	neutral	0.004	0.699	0.297
^5	positive	0.135	0.148	0.717
][	neutral	0.268	0.579	0.152
]]	negative	0.526	0.381	0.094
rainin	negative	0.647	0.267	0.086
goingg	neutral	0.261	0.519	0.22
^^	positive	0.053	0.226	0.721
^_	positive	0.001	0.347	0.652
vibin	neutral	0.249	0.663	0.088
`&	neutral	0.119	0.595	0.286
^o	negative	0.708	0.208	0.084
__	positive	0.097	0.399	0.503
orianthi	neutral	0.082	0.503	0.415
_i	positive	0.232	0.374	0.394
a-	neutral	0.042	0.863	0.094
a1	neutral	0.078	0.813	0.109
a2	neutral	0.043	0.894	0.064
a3	neutral	0.115	0.856	0.028
a4	neutral	0.028	0.838	0.134
a5	neutral	0.123	0.681	0.196
#deleteyouraccount	negative	0.537	0.213	0.251
b+	neutral	0.038	0.889	0.073
b-	neutral	0.202	0.761	0.037
@user377300	positive	0.019	0.13	0.851
b1	neutral	0.112	0.742	0.146
b2	neutral	0.109	0.752	0.138
fome	neutral	0.258	0.465	0.278
b3	neutral	0.046	0.63	0.324
b4	negative	0.567	0.358	0.074
`s	neutral	0.077	0.484	0.439
b5	neutral	0.06	0.716	0.224
aa	neutral	0.18	0.666	0.154
c#	neutral	0.021	0.938	0.041
ab	neutral	0.19	0.704	0.106
ac	neutral	0.088	0.806	0.106
ad	neutral	0.177	0.743	0.08
ae	neutral	0.161	0.639	0.2
af	neutral	0.172	0.779	0.048
ag	neutral	0.063	0.788	0.149
ah	neutral	0.271	0.479	0.25
ai	neutral	0.211	0.578	0.211
c+	neutral	0.326	0.651	0.023
aj	neutral	0.092	0.73	0.178
ak	neutral	0.209	0.626	0.165
al	neutral	0.205	0.71	0.085
am	negative	0.385	0.368	0.247
c/	neutral	0.102	0.58	0.318
an	neutral	0.101	0.501	0.398
ao	neutral	0.245	0.692	0.063
ap	neutral	0.174	0.7	0.126
c2	neutral	0.105	0.737	0.158
aq	neutral	0.278	0.535	0.187
c3	neutral	0.184	0.781	0.035
ar	neutral	0.258	0.59	0.152
c4	neutral	0.155	0.63	0.214
as	neutral	0.061	0.504	0.435
at	neutral	0.234	0.701	0.065
au	neutral	0.186	0.754	0.06
av	neutral	0.117	0.75	0.133
aw	positive	0.096	0.272	0.632
az	neutral	0.148	0.615	0.237
foll	neutral	0.171	0.518	0.311
h1n1	negative	0.861	0.069	0.07
ba	neutral	0.221	0.673	0.106
bb	neutral	0.217	0.462	0.322
bd	neutral	0.059	0.584	0.357
be	positive	0.237	0.172	0.592
bf	neutral	0.237	0.496	0.266
bg	neutral	0.058	0.764	0.178
bh	neutral	0.078	0.543	0.38
bi	neutral	0.361	0.578	0.061
d+	neutral	0.083	0.618	0.298
bj	neutral	0.209	0.719	0.072
bk	neutral	0.147	0.712	0.14
d-	negative	0.596	0.198	0.205
bl	positive	0.115	0.357	0.528
bm	neutral	0.142	0.498	0.359
bn	neutral	0.374	0.532	0.093
d0	positive	0.19	0.388	0.422
bo	neutral	0.148	0.75	0.103
bp	neutral	0.249	0.563	0.188
d2	neutral	0.168	0.707	0.125
d3	neutral	0.002	0.699	0.299
br	neutral	0.18	0.775	0.045
bt	negative	0.589	0.25	0.161
bu	neutral	0.225	0.553	0.222
bv	neutral	0.414	0.541	0.045
d8	negative	0.508	0.477	0.015
fook	negative	0.405	0.344	0.251
bw	neutral	0.27	0.7	0.03
bx	neutral	0.34	0.435	0.225
by	negative	0.49	0.325	0.185
bz	neutral	0.238	0.737	0.025
foor	neutral	0.335	0.523	0.142
ca	neutral	0.087	0.675	0.238
cb	neutral	0.327	0.6	0.072
cc	neutral	0.184	0.527	0.289
cd	neutral	0.075	0.707	0.217
ce	neutral	0.173	0.782	0.045
cf	neutral	0.063	0.807	0.131
cg	positive	0.062	0.39	0.548
ch	neutral	0.276	0.589	0.135
fonz	neutral	0.043	0.656	0.301
ci	neutral	0.131	0.716	0.153
cj	neutral	0.136	0.701	0.163
ck	neutral	0.064	0.755	0.182
cl	neutral	0.468	0.496	0.035
cm	neutral	0.26	0.674	0.066
cn	neutral	0.128	0.599	0.273
co	neutral	0.108	0.664	0.227
listeninqq	negative	0.544	0.248	0.208
cp	neutral	0.251	0.681	0.068
cq	neutral	0.442	0.503	0.055
e3	positive	0.185	0.394	0.421
e4	neutral	0.183	0.589	0.228
cr	neutral	0.204	0.537	0.26
cs	neutral	0.121	0.762	0.117
fone	negative	0.512	0.411	0.077
ct	neutral	0.082	0.696	0.222
cu	neutral	0.151	0.738	0.111
fong	neutral	0.086	0.672	0.242
cv	neutral	0.014	0.724	0.262
cw	neutral	0.16	0.62	0.22
cx	neutral	0.366	0.606	0.029
cy	neutral	0.133	0.664	0.202
cz	negative	0.697	0.176	0.127
justkidding	negative	0.635	0.015	0.349
da	neutral	0.084	0.621	0.295
f#	neutral	0.329	0.602	0.069
db	neutral	0.146	0.717	0.136
dc	neutral	0.04	0.835	0.125
dd	neutral	0.219	0.471	0.31
de	neutral	0.181	0.711	0.108
df	neutral	0.296	0.661	0.043
dg	neutral	0.174	0.793	0.032
dh	neutral	0.166	0.541	0.293
di	neutral	0.148	0.76	0.092
dj	neutral	0.09	0.715	0.194
dk	neutral	0.264	0.586	0.15
dl	neutral	0.168	0.731	0.101
fora	neutral	0.149	0.728	0.123
dm	neutral	0.136	0.56	0.303
f/	neutral	0.076	0.857	0.067
dn	neutral	0.341	0.587	0.072
do	neutral	0.059	0.653	0.288
f1	neutral	0.037	0.683	0.28
dp	neutral	0.064	0.713	0.223
dq	neutral	0.107	0.711	0.182
dr	neutral	0.146	0.69	0.164
f4	neutral	0.248	0.402	0.349
ds	neutral	0.148	0.781	0.072
f5	negative	0.578	0.413	0.009
dt	neutral	0.282	0.654	0.064
du	neutral	0.134	0.824	0.042
dv	positive	0.043	0.419	0.538
dw	negative	0.528	0.39	0.082
dx	negative	0.663	0.286	0.051
dy	neutral	0.291	0.485	0.223
dz	neutral	0.364	0.479	0.157
ea	neutral	0.227	0.678	0.095
eb	neutral	0.131	0.713	0.156
ec	neutral	0.081	0.815	0.104
brainstorming	neutral	0.011	0.855	0.134
ed	neutral	0.225	0.646	0.13
ee	neutral	0.219	0.451	0.33
ef	neutral	0.133	0.817	0.05
eg	neutral	0.246	0.715	0.039
eh	neutral	0.2	0.637	0.164
ei	neutral	0.181	0.469	0.35
ej	neutral	0.112	0.771	0.117
ek	neutral	0.169	0.533	0.298
el	neutral	0.18	0.751	0.069
